Currency units per SDR for January 1997
Currency	January 02, 1997	January 03, 1997	January 06, 1997	January 07, 1997	January 08, 1997	January 09, 1997	January 10, 1997	January 13, 1997	January 14, 1997	January 15, 1997	January 16, 1997
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,215.770000	1,215.060000	1,207.270000	1,212.090000	1,209.030000	1,207.370000	1,210.730000	1,206.160000	1,206.920000	1,204.000000	1,207.480000
Kuwaiti Dinar	NA	NA	0.430101	0.429879	0.428843	0.428668	NA	0.427699	0.427925	0.426488	0.426934
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.638540	3.631800	3.610920	3.587350	3.566250	3.562370	3.550970	3.520640	3.532880	3.518900	3.521050
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	82.131800	82.044500	81.702300	81.834600	81.637300	81.506100	81.549500	81.232400	81.215900	80.943200	81.100700
New Zealand Dollar	NA	2.032520	2.021190	2.022470	2.016450	2.021190	2.020550	2.020680	2.022860	2.021810	2.019990
Norwegian Krone	9.227760	9.205010	9.271200	9.275450	9.253800	9.271810	9.151620	9.058340	9.069320	9.031780	9.039390
Rial Omani	0.553738	0.553149	0.550842	0.551734	0.550404	0.549520	0.549812	0.547674	0.547563	0.545725	0.546786
Pakistani Rupee	57.923300	57.861700	57.620400	57.713700	57.574600	57.482000	57.512600	57.289000	57.277300	57.085100	57.196100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.242150	5.236580	5.214740	5.223180	5.210590	5.202220	5.204980	5.184740	5.183690	5.166290	5.176330
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.393360	5.387630	5.365160	5.373850	5.360890	5.352280	5.355130	5.334300	5.333220	5.315320	5.325650
Singapore Dollar	2.015920	2.013640	2.011970	2.015090	2.008370	2.009140	2.009780	2.000110	2.000560	1.996120	1.998290
South African Rand	6.770150	6.756480	6.735460	6.700450	6.681430	6.669270	6.689970	6.671080	6.649790	6.610440	6.624710
Sri Lanka Rupee	81.652900	81.602100	81.304800	81.432800	81.232900	81.148800	81.192000	80.936800	NA	80.705500	80.858900
Swedish Krona	9.875830	9.916410	NA	9.981590	9.973840	9.951380	9.861580	9.803300	9.867520	9.897560	9.875570
Swiss Franc	NA	1.938250	1.942630	1.941470	1.944520	1.954400	1.960300	1.959950	1.951000	1.957940	1.956340
Thai Baht	36.867800	36.828700	36.746700	36.763200	36.660200	36.629900	36.678000	36.535300	36.542100	36.462100	36.504500
Trinidad And Tobago Dollar	8.933540	8.926490	8.890700	8.895050	8.870880	8.856770	NA	8.833290	8.825370	8.784540	8.798920
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.286790	5.281170	5.259150	5.267660	5.254960	5.246520	5.249310	5.228900	5.227830	5.210290	5.220420
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for January 1997 Continued

Currency	January 17, 1997	January 20, 1997	January 21, 1997	January 22, 1997	January 23, 1997	January 24, 1997	January 27, 1997	January 28, 1997	January 29, 1997	January 30, 1997	January 31, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.566500
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	165.723000	165.518000	166.587000	165.588000	167.129000	167.110000	166.775000	166.729000	168.754000	169.404000	170.149000
U.K. Pound Sterling	0.847081	0.848027	0.848355	0.847547	0.857507	0.860540	0.863859	0.863999	0.861432	0.860395	0.870574
U.S. Dollar	1.418860	1.407470	1.410560	1.402690	1.400910	1.403110	1.399710	1.391730	1.389490	1.394270	1.394660
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.819980	1.801220	1.811890	1.803870	1.817710	1.815380	NA	1.799730	1.809940	1.806050	1.830260
Bahrain Dinar	0.533491	0.529209	0.530371	0.527411	0.526742	0.527569	0.526291	0.523290	0.522448	0.524246	0.524392
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.479590	1.468130	1.470370	1.462580	1.460870	1.463440	1.460320	1.451990	1.450770	1.456730	1.457280
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.900560	1.881510	1.888180	1.873010	1.879180	1.892090	1.881070	1.865340	1.869280	1.879340	1.879030
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	585.966000
Colombian Peso	1,444.610000	1,436.890000	1,442.650000	1,435.890000	1,444.370000	1,447.320000	1,445.370000	1,447.500000	1,468.690000	1,474.890000	1,493.640000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.667110	8.705910	8.725020	8.778030	8.763390	8.745580	8.735590	8.774860	8.763510	8.730920	8.700590
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.468300	96.468000	96.750300	96.939900	97.041000	97.053100	96.971900	97.101000	97.153100	97.013300	96.970700
Indian Rupee	50.880300	50.457800	50.568600	50.300500	NA	50.301500	50.179600	49.921400	49.841000	50.054300	50.040400
Indonesian Rupiah	3,331.480000	3,304.740000	3,311.990000	3,293.520000	3,289.340000	3,294.500000	3,286.520000	3,267.780000	3,262.520000	3,273.750000	3,274.660000
Iranian Rial	2,487.340000	2,486.550000	2,486.550000	2,472.010000	2,458.210000	2,458.210000	2,458.950000	2,452.990000	2,439.000000	2,435.090000	2,435.090000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,204.610000	1,194.660000	1,198.410000	1,195.230000	1,195.820000	1,198.400000	1,195.490000	1,189.930000	1,191.490000	NA	1,198.850000
Kuwaiti Dinar	NA	0.423831	0.424762	0.422869	0.423173	NA	0.422488	0.420859	0.420738	0.421376	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.520620	NA	3.503130	3.486950	3.479860	3.489250	3.483880	3.469030	3.469140	3.466430	3.468240
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.911100
Nepalese Rupee	80.917600	80.268000	80.444200	79.995400	79.893900	80.019400	79.825500	79.370400	79.242600	79.515200	79.537500
New Zealand Dollar	2.001780	1.985710	1.997390	1.989350	1.993610	2.022360	2.019490	2.014080	2.021660	2.011060	2.023010
Norwegian Krone	8.986350	8.933210	9.036750	9.057170	9.171760	9.260530	9.095320	9.093560	9.117830	9.081580	9.072960
Rial Omani	0.545552	0.541172	0.542360	0.539334	0.538650	0.539496	0.538188	0.535120	0.534259	0.536097	0.536247
Pakistani Rupee	57.067000	56.608900	56.733100	56.416600	56.345000	56.433500	56.296800	55.975800	55.885700	56.078000	56.093600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.707500
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.193050
Qatar Riyal	5.164650	5.123190	5.134440	5.105790	5.099310	5.107320	5.094940	5.065900	5.057740	5.075140	5.076560
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.313630	5.270980	5.282550	5.253070	5.246410	5.254650	5.241910	5.212030	5.203640	5.221540	5.223000
Singapore Dollar	1.993780	1.979610	1.983950	1.973580	1.975700	1.976000	1.971490	1.961090	1.956680	1.962300	1.964380
South African Rand	6.592730	6.534180	6.565450	6.495860	6.484110	6.482370	6.414170	6.353250	6.336770	6.366240	6.368710
Sri Lanka Rupee	80.704800	80.113200	80.349000	79.953300	NA	80.050900	79.923400	79.551300	79.458000	79.727800	79.764100
Swedish Krona	9.893000	9.930400	9.993110	9.966110	10.072500	10.144500	10.129700	10.178300	10.153000	10.158700	10.099400
Swiss Franc	1.964980	1.997340	1.994250	2.010760	1.997000	1.980630	1.981990	1.994630	1.983500	1.991300	1.977350
Thai Baht	36.422100	36.186100	36.307800	36.119300	NA	36.172200	36.084500	35.920600	35.932200	36.069800	36.079900
Trinidad And Tobago Dollar	8.770400	8.690850	8.699770	8.653760	8.634930	8.644980	8.619130	8.571110	8.545780	8.571690	8.572560
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.208640	5.166820	5.178170	5.149270	5.142740	5.150820	5.138340	5.109040	5.100820	5.118370	5.119800
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
