Currency units per SDR for October 2014
Currency	October 01, 2014	October 02, 2014	October 03, 2014	October 06, 2014	October 07, 2014	October 08, 2014	October 09, 2014	October 10, 2014	October 14, 2014	October 15, 2014	October 16, 2014
Thai Baht	48.464900	48.252500	48.120400	48.086600	NA	48.137800	48.208300	48.269100	48.379800	48.218600	48.073700
Trinidad And Tobago Dollar	9.481370	9.442960	9.461280	9.435560	9.415220	NA	9.403890	9.415840	9.435560	9.390820	9.347630
Tunisian Dinar	2.679210	2.676540	2.677120	NA	2.680670	2.676730	2.685060	2.683570	2.681460	2.663820	2.680930
U.A.E. Dirham	5.488350	5.480380	5.479420	5.465050	5.457470	5.454020	5.460810	5.464480	5.469620	5.438150	5.429150
Peso Uruguayo	36.424000	36.269700	36.197700	NA	36.055800	35.995700	36.021400	35.642200	35.407600	35.414300	35.719400
Bolivar Fuerte	9.391350	9.377700	9.376110	9.351560	9.338550	9.332620	9.344310	9.350510	9.359350	9.305530	9.290140

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
