Currency units per SDR for July 2014
Currency	July 01, 2014	July 02, 2014	July 03, 2014	July 07, 2014	July 08, 2014	July 09, 2014	July 10, 2014	July 11, 2014	July 14, 2014	July 15, 2014	July 16, 2014
Singapore Dollar	1.914100	1.913640	1.912080	1.909140	1.906010	1.903440	1.906980	NA	1.906750	1.904050	1.907700
South African Rand	16.506700	16.441400	16.375400	16.307000	16.198100	16.147300	16.175800	16.179100	16.267600	16.311400	16.391300
Sri Lanka Rupee	200.668000	200.657000	200.715000	200.497000	200.410000	200.325000	200.085000	200.005000	NA	199.633000	199.392000
Swedish Krona	10.514900	10.528200	10.538400	10.546300	10.537300	10.533100	10.487900	10.471700	10.502500	10.544000	10.554400
Swiss Franc	1.384010	1.384260	1.384280	1.387000	1.387850	1.387020	1.388140	1.388690	1.388300	1.391360	1.392260
Thai Baht	49.555700	49.620200	49.370500	49.025900	48.883300	48.947900	48.960300	48.854400	48.844800	48.853200	49.006400
Trinidad And Tobago Dollar	9.813830	9.826950	9.791060	9.725450	9.756100	9.754670	9.763810	9.766860	NA	9.755810	9.749250
Tunisian Dinar	2.654230	2.658980	2.654990	2.653340	2.655560	2.648850	NA	NA	NA	NA	2.635320
U.A.E. Dirham	5.660750	5.659850	5.659310	5.651570	5.650040	5.647870	5.642420	5.640290	5.638120	5.630600	5.623730
Peso Uruguayo	35.364100	NA	35.296700	35.217300	35.264800	35.303600	35.300300	35.331400	35.537400	35.517500	35.681000
Bolivar Fuerte	9.686450	9.684850	9.683920	9.670620	9.668090	9.664360	9.655030	9.651390	9.647670	9.634840	9.623060

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
