Currency units per SDR for August 1996
Currency	August 01, 1996	August 02, 1996	August 05, 1996	August 06, 1996	August 07, 1996	August 08, 1996	August 09, 1996	August 12, 1996	August 13, 1996	August 14, 1996	August 15, 1996
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,189.810000	1,187.790000	1,190.220000	1,187.730000	1,187.110000	1,185.910000	1,187.930000	1,189.180000	1,189.000000	1,188.380000	NA
Kuwaiti Dinar	0.437444	NA	0.437246	0.436148	0.436412	0.435915	NA	0.436967	NA	0.436085	0.435602
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.650080	3.646070	3.644820	3.632620	3.629130	3.628200	3.635120	3.639690	3.639270	3.637150	3.626130
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	83.472500	83.340800	83.429200	83.183400	83.150300	83.055600	83.207300	83.295200	83.262100	83.126900	82.984900
New Zealand Dollar	2.131130	2.134920	2.140310	2.131200	2.126310	2.120180	2.117880	2.125980	2.131650	2.126640	2.117450
Norwegian Krone	9.315460	9.324140	9.313550	9.330600	9.357510	9.340300	9.344230	9.327800	9.333590	9.338110	9.355630
Rial Omani	0.562777	0.561889	0.562485	0.560828	0.560605	0.559967	0.560989	0.561581	0.561358	0.560447	0.559490
Pakistani Rupee	51.957900	51.875900	51.930900	51.777900	51.757300	51.698400	51.792800	51.847500	52.002500	51.918100	51.829400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.327720	5.319310	5.324960	5.309270	5.307160	5.301110	5.310800	5.316400	5.314290	5.305660	5.296600
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.481410	5.472760	5.478560	5.462420	5.460250	5.454030	5.463990	5.469760	5.467590	5.458710	5.449390
Singapore Dollar	2.070050	2.067080	2.072340	2.065950	2.065710	2.063790	NA	2.066390	2.063810	2.059440	2.055630
South African Rand	6.590130	6.543190	6.526730	6.529380	6.555940	6.553580	NA	6.634550	6.624610	6.635720	6.638940
Sri Lanka Rupee	81.383200	81.287600	81.377500	81.141400	81.178400	81.158700	81.317900	81.403800	81.375100	81.301300	81.235200
Swedish Krona	9.657960	9.617140	9.659530	9.601900	9.665880	9.663610	9.698770	9.712660	9.701500	9.672340	9.675170
Swiss Franc	NA	1.763120	1.753430	1.759790	1.761280	1.766550	1.755920	1.753680	1.754150	1.757430	1.763880
Thai Baht	36.913500	36.884500	36.923600	36.814800	36.829300	36.816500	36.898400	NA	36.878800	36.833600	36.799700
Trinidad And Tobago Dollar	NA	8.687580	8.700160	8.671170	8.680120	8.669940	8.673080	8.688080	8.688870	8.676950	8.657180
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.373100	5.364620	5.370310	5.354480	5.352350	5.346260	5.356030	5.361680	5.359550	5.350850	5.341710
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 1996 Continued

Currency	August 16, 1996	August 19, 1996	August 20, 1996	August 21, 1996	August 22, 1996	August 23, 1996	August 26, 1996	August 27, 1996	August 28, 1996	August 29, 1996	August 30, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.107800
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	156.744000	157.092000	157.115000	157.710000	157.621000	157.608000	157.718000	157.391000	157.154000	158.134000	158.069000
U.K. Pound Sterling	0.939432	0.941105	0.941826	0.940596	0.939694	0.937023	NA	0.937383	0.936503	0.936585	0.936078
U.S. Dollar	1.455650	1.455230	1.455310	1.456230	1.454740	1.455290	1.460350	1.461380	1.458510	1.459200	1.457660
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.859780	1.852140	1.845430	1.840770	1.838880	1.840510	1.846440	1.851960	1.845980	1.839640	1.843040
Bahrain Dinar	0.547324	0.547166	0.547197	0.547542	0.546982	0.547189	0.549092	0.549479	0.548400	0.548659	0.548080
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.473410	1.473710	1.473940	1.476030	1.474960	1.475660	1.481530	1.482860	1.480530	1.481530	1.480840
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.999770	1.998760	1.998580	2.000860	1.995030	1.993310	2.001560	1.998440	1.992620	1.994140	1.994660
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	598.588000
Colombian Peso	1,531.080000	1,524.940000	1,525.020000	1,521.090000	1,509.190000	1,513.720000	1,514.530000	1,522.230000	1,523.470000	1,527.340000	1,523.280000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.383090	8.387950	8.377490	8.355120	8.345840	8.378830	8.339330	8.329140	8.341220	8.332760	8.337820
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.742500	96.729100	96.705300	96.650000	96.492900	96.616700	96.529100	96.509500	96.553400	96.496900	96.497100
Indian Rupee	51.937600	51.922600	51.896400	51.943700	51.890600	51.939300	52.178300	52.215100	52.112600	52.210200	52.009300
Indonesian Rupiah	3,407.680000	3,406.690000	3,406.880000	3,409.030000	3,405.550000	3,406.830000	3,418.680000	3,421.090000	3,414.370000	3,415.990000	3,412.380000
Iranian Rial	2,554.440000	2,551.030000	2,550.290000	2,550.430000	2,552.040000	2,552.040000	2,550.400000	2,559.260000	2,561.070000	2,556.040000	2,556.040000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,192.910000	1,195.760000	1,191.170000	1,193.380000	1,190.850000	1,191.450000	1,195.000000	1,194.970000	1,194.080000	1,195.380000	1,194.120000
Kuwaiti Dinar	NA	0.435740	0.435763	0.436039	0.435404	NA	0.436776	0.436923	0.436299	0.436505	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.626320	3.627160	3.626630	3.629360	3.628850	3.628040	3.641380	3.642490	3.637230	3.640120	3.636130
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.004600
Nepalese Rupee	83.015700	82.991800	82.996300	83.048800	82.963800	82.995200	83.283800	83.342500	83.178800	83.218200	83.130300
New Zealand Dollar	2.111780	2.113010	2.106090	2.108340	2.104660	2.103930	2.101220	2.108170	2.103720	2.106540	2.107050
Norwegian Krone	9.356920	9.364410	9.359100	9.367930	9.351070	9.387350	9.344780	9.343040	9.365820	9.351280	9.347240
Rial Omani	0.559697	0.559536	0.559567	0.559920	0.559348	0.559559	0.561505	0.561901	0.560797	0.561062	0.560470
Pakistani Rupee	51.848700	51.833700	51.836500	51.869300	51.816200	51.835800	52.016100	52.052700	51.950500	52.106700	52.051700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.132400
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.997630
Qatar Riyal	5.298570	5.297040	5.297330	5.300680	5.295250	5.297260	5.315670	5.319420	5.308980	5.311490	5.305880
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.451410	5.449840	5.450140	5.453580	5.448000	5.450060	5.469010	5.472870	5.462120	5.464700	5.458940
Singapore Dollar	2.055230	2.051870	2.053440	2.057070	2.053070	2.053120	2.057490	2.058790	2.053870	2.053240	2.051360
South African Rand	6.626850	6.632210	6.647130	6.646960	6.637250	6.609200	6.626340	6.609090	6.571320	6.581720	6.541250
Sri Lanka Rupee	81.265300	81.325500	81.340900	81.392300	81.305400	81.387100	81.651800	81.705800	81.545300	81.638600	81.552400
Swedish Krona	9.666830	9.645260	9.622360	9.622770	9.626010	9.631110	9.622100	9.622020	9.643520	NA	9.630320
Swiss Franc	1.760320	1.757920	1.759320	1.750830	1.754420	1.756240	1.740150	1.738750	1.744520	1.743740	1.748750
Thai Baht	36.798800	36.802800	36.804800	36.842600	36.804900	36.833400	36.917600	36.929100	36.856500	36.903200	36.864200
Trinidad And Tobago Dollar	8.667520	8.661530	8.663750	8.668210	8.659490	8.664070	8.692730	8.699740	8.678720	8.683550	8.669290
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.343690	5.342150	5.342440	5.345820	5.340350	5.342370	5.360940	5.364730	5.354190	5.356720	5.351070
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
