Currency units per SDR for May 2005
Currency	May 02, 2005	May 03, 2005	May 04, 2005	May 05, 2005	May 06, 2005	May 09, 2005	May 10, 2005	May 11, 2005	May 12, 2005	May 13, 2005	May 16, 2005
Mauritian Rupee	43.361000	43.382400	43.464700	43.471500	43.320000	43.449500	43.355900	NA	43.293800	43.241900	NA
Mexican Peso	16.405700	16.342200	16.311900	16.357300	16.278100	16.360300	16.259100	16.287400	16.192700	16.108600	16.100500
Nepalese Rupee	105.092000	104.974000	105.476000	105.048000	NA	104.963000	104.723000	104.644000	104.622000	104.396000	103.903000
New Zealand Dollar	2.103390	2.108610	2.093150	2.101330	2.098760	2.096220	2.088780	NA	2.093540	2.079050	2.073590
Norwegian Krone	NA	9.556480	9.579550	9.619820	9.608730	NA	9.531980	NA	9.432090	9.456440	9.495950
Rial Omani	0.573648	0.572964	0.573914	0.573247	0.571419	0.572902	0.571592	0.571164	0.571044	NA	0.567115
Pakistani Rupee	88.805200	88.699700	88.847000	88.746100	88.463500	88.692600	88.490100	88.423600	88.456400	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.970970	4.965640	4.904460	4.907280	4.972450	4.956160	4.946480	NA	4.954790	4.908220	NA
Qatar Riyal	5.430620	5.424170	5.433160	5.426850	5.409530	5.423580	5.411170	5.407100	5.405990	NA	NA
Russian Ruble	41.763400	41.732400	41.735000	41.703000	NA	41.768500	41.679000	41.687900	NA	41.630800	41.585600
Saudi Arabian Riyal	5.594750	5.588060	5.597350	5.590840	5.573020	5.587470	5.574700	5.570500	NA	NA	5.531030
Singapore Dollar	2.471830	2.471270	2.468810	2.469960	NA	2.469510	2.459860	2.465280	2.463280	2.457810	2.454020
South African Rand	9.578180	9.574230	9.552830	9.571480	9.734160	NA	9.737100	NA	NA	9.832750	9.904230
Sri Lanka Rupee	148.970000	148.552000	148.829000	148.880000	NA	NA	148.533000	148.426000	148.426000	148.125000	147.413000
Swedish Krona	10.902300	10.870700	10.829000	10.846200	10.871100	10.862100	10.840900	10.881100	10.889900	10.866400	10.910900
Swiss Franc	1.822390	1.822760	1.821000	1.826490	1.832110	1.828670	1.830730	1.832620	1.833130	1.831980	1.840730
Thai Baht	59.440000	59.568800	59.524500	59.586600	NA	59.629600	59.540800	NA	60.058300	59.833700	59.752900
Trinidad And Tobago Dollar	9.332890	9.328180	9.339340	9.328970	9.310380	NA	9.324880	9.301370	NA	NA	9.214300
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.479120	5.472590	5.481670	5.475280	5.457830	5.471990	5.459500	5.455390	5.454260	NA	NA
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
