Currency units per SDR for October 2000
Currency	October 02, 2000	October 03, 2000	October 04, 2000	October 05, 2000	October 06, 2000	October 09, 2000	October 10, 2000	October 11, 2000	October 12, 2000	October 13, 2000	October 16, 2000
Iranian Rial	2,274.550000	2,274.790000	2,268.830000	2,265.210000	NA	2,262.580000	2,262.570000	2,262.570000	2,268.250000	NA	2,266.960000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.398313	NA	0.396984	0.396816	NA	0.396663	0.397973	0.397632	0.397235	NA	0.395356
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.932510	4.919560	4.911730	4.906290	4.906030	4.900250	4.916440	4.918300	4.913400	4.915530	4.882200
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	95.080700	94.830900	94.680000	94.575300	94.570100	NA	NA	NA	NA	NA	NA
New Zealand Dollar	3.184180	3.182840	3.234230	3.189940	3.224020	3.198660	3.226430	3.185940	3.194560	3.245670	3.226900
Norwegian Krone	11.861000	11.870000	11.896600	11.826800	11.920400	11.931300	11.953700	11.982500	12.041800	12.065900	12.090100
Rial Omani	0.499093	0.497781	0.496989	0.496439	0.496413	0.495828	0.497466	0.497655	0.497159	0.497374	0.494002
Pakistani Rupee	67.227000	67.050400	66.943700	66.869600	NA	NA	NA	NA	NA	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.724830	4.712420	4.704920	4.699710	4.699460	4.693930	4.709430	4.711220	4.706520	4.708560	4.676640
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.861120	4.848350	4.840640	4.835280	4.835020	4.829330	4.845280	4.847120	4.842280	4.844380	4.811540
Singapore Dollar	2.255980	2.254970	2.256030	2.259480	2.255870	2.255530	2.267130	2.267850	2.264560	2.266960	2.251980
South African Rand	9.376320	9.382760	9.362660	9.340680	9.390520	9.456840	9.504900	9.560140	9.589530	NA	9.693100
Sri Lanka Rupee	100.649000	100.385000	100.225000	100.114000	100.109000	99.990900	100.321000	100.359000	NA	100.303000	99.622600
Swedish Krona	12.496800	12.590200	12.673600	12.627300	12.642700	12.682600	12.743900	12.755200	12.794200	12.799800	12.796500
Swiss Franc	2.241960	2.242540	2.243750	2.246310	2.258450	2.255280	2.254830	2.245460	2.258480	2.254030	2.281660
Thai Baht	54.593800	54.891900	55.012600	54.999600	54.713800	54.832500	55.328100	55.749000	55.944200	56.306100	55.580000
Trinidad And Tobago Dollar	8.155650	8.129050	8.117150	8.099520	8.097660	8.093800	8.115490	8.115330	8.110990	8.129120	8.076450
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.767020	4.754490	4.746930	4.741670	4.741420	4.735840	4.751480	4.753280	4.748540	4.750600	4.718390
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 2000 Continued

Currency	October 17, 2000	October 18, 2000	October 19, 2000	October 20, 2000	October 23, 2000	October 24, 2000	October 25, 2000	October 26, 2000	October 27, 2000	October 30, 2000	October 31, 2000
Chinese Yuan	10.623800	10.643000	10.616900	10.614700	10.591000	10.597000	10.574000	10.557200	10.567500	10.639800	10.589700
Euro	1.510500	1.508130	1.524850	1.517170	1.527220	1.526450	1.537650	1.545400	1.533460	1.515340	1.519950
Japanese Yen	138.599000	138.956000	138.195000	139.105000	139.347000	138.505000	137.888000	138.047000	138.303000	139.777000	139.512000
U.K. Pound Sterling	0.894362	0.888146	0.887639	0.885818	0.879581	0.881112	0.886235	0.894731	0.889760	0.878364	0.883095
U.S. Dollar	1.283320	1.285680	1.282550	1.282310	1.279350	1.280080	1.277330	1.275260	1.276450	1.285310	1.279340
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.461300	2.471040	2.475490	2.430000	2.423470	2.429920	2.422860	2.457150	2.457070	2.448680	2.485120
Bahrain Dinar	0.482528	0.483416	0.482239	0.482149	0.481036	0.481310	0.480276	0.479498	0.479945	0.483277	0.481032
Botswana Pula	6.914440	6.976020	6.970380	6.957730	6.922890	6.904420	6.957140	6.953440	6.929700	6.913990	6.915350
Brazilian Real	2.399300	2.398950	2.409530	2.398690	2.403640	2.420630	2.423480	2.457940	2.467630	2.471910	2.453260
Brunei Dollar	2.249020	2.258040	2.253180	2.244040	2.245390	2.247180	2.237120	NA	2.240680	2.255200	NA
Canadian Dollar	1.949110	1.954230	1.937800	1.940010	1.929640	1.934840	1.935670	1.936480	1.949390	1.967810	1.953680
Chilean Peso	672.473000	673.542000	672.928000	672.918000	672.017000	672.324000	671.569000	671.042000	671.081000	674.582000	672.421000
Colombian Peso	2,798.520000	2,800.380000	2,773.980000	2,759.930000	2,763.130000	2,762.210000	2,750.320000	2,767.720000	2,766.400000	2,773.880000	2,761.280000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	11.254100	11.205000	11.344200	11.298700	11.341800	11.367000	11.443600	11.485000	11.436200	11.304900	11.340700
Hungarian Forint	396.803000	395.951000	400.156000	398.196000	NA	400.652000	402.780000	406.438000	403.741000	399.757000	401.163000
Icelandic Krona	109.454000	109.476000	110.081000	109.881000	109.986000	110.573000	111.243000	111.981000	112.379000	111.693000	111.469000
Indian Rupee	59.494700	59.565600	59.420500	59.422200	59.336300	59.434100	59.370300	59.274100	59.712300	60.229600	59.873100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,251.580000	2,249.010000	2,253.150000	NA	2,247.260000	2,242.060000	NA	2,238.510000	2,238.520000	2,234.890000	2,252.500000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.395186	0.395694	0.395166	NA	0.394181	0.394405	NA	NA	NA	0.396017	0.394177
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.876620	4.885580	4.873690	4.872780	4.861530	4.864300	4.853850	4.845990	4.850510	4.884180	4.861490
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	94.497500	NA	NA	NA	NA	NA	94.050400	NA	NA	94.735100
New Zealand Dollar	3.246040	3.261910	3.257270	3.223910	NA	3.197400	3.165230	3.206990	3.185950	3.194510	3.206770
Norwegian Krone	12.140600	12.135100	12.209500	12.143300	12.128400	12.129900	12.218200	12.250400	12.155000	12.021100	11.967300
Rial Omani	0.493437	0.494344	0.493140	0.493048	0.491910	0.492191	0.491133	0.490337	0.490795	0.494202	0.491906
Pakistani Rupee	NA	NA	NA	NA	NA	NA	NA	NA	72.717700	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.671280	4.679880	4.668480	4.667610	4.656830	4.659490	4.649480	4.641950	4.646280	4.678530	4.656800
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.806030	4.814870	4.803150	4.802250	4.791170	4.793900	4.783600	4.775850	4.780310	4.813490	4.791130
Singapore Dollar	2.249020	2.258040	2.253180	2.244040	2.245390	2.247180	2.237120	NA	2.240680	2.255200	NA
South African Rand	9.669170	9.854090	9.830100	9.801340	9.731380	9.694690	9.767100	9.784430	9.753990	9.702160	9.692920
Sri Lanka Rupee	99.508600	99.691600	99.448900	99.430300	99.200800	99.257400	99.044200	NA	98.975900	99.662900	NA
Swedish Krona	12.842800	12.808600	12.940900	12.890400	12.921400	12.954400	12.920200	13.147900	13.051700	12.949500	12.898900
Swiss Franc	2.284050	2.275270	2.288710	2.284050	2.291440	2.300050	2.308900	2.324540	2.317140	2.305850	2.312920
Thai Baht	55.592100	56.017100	55.971800	55.653500	NA	56.312000	55.722200	55.931600	55.909800	NA	56.255100
Trinidad And Tobago Dollar	8.056170	8.063530	8.043900	8.040980	NA	8.041590	8.027890	NA	NA	8.069050	8.020690
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.712990	4.721660	4.710160	4.709280	4.698410	4.701090	4.690990	4.683390	4.687760	4.720300	4.698380
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
