Currency units per SDR for September 1997
Currency	September 01, 1997	September 02, 1997	September 03, 1997	September 04, 1997	September 05, 1997	September 08, 1997	September 09, 1997	September 10, 1997	September 11, 1997	September 12, 1997	September 15, 1997
Korean Won	1,221.760000	1,221.910000	1,220.640000	1,222.620000	1,224.070000	1,229.250000	1,231.670000	1,232.620000	1,236.170000	1,236.230000	1,241.650000
Kuwaiti Dinar	0.412797	0.412154	0.412197	0.412637	NA	0.412792	0.413603	0.413695	0.414219	NA	0.415891
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	NA	3.975050	3.981270	4.049050	4.011080	NA	NA	3.957430	4.010370	4.027550	4.050690
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	78.263000	78.082200	78.018600	78.439700	78.437400	78.569700	79.741500	79.759200	79.962500	79.993100	80.317000
New Zealand Dollar	2.128040	2.138240	2.126410	2.121990	2.126940	2.127850	2.128020	2.133510	2.149080	2.149230	2.148770
Norwegian Krone	10.157400	10.171100	10.243100	10.123000	10.076000	10.007000	10.066000	10.116400	10.018400	9.986890	9.979500
Rial Omani	0.520805	0.519602	0.519179	0.519732	0.519717	0.520594	0.521617	0.521732	0.523062	0.523262	0.525381
Pakistani Rupee	55.021600	54.894400	54.849700	54.908200	54.906600	54.999200	55.107300	55.119400	55.260000	55.281100	55.504900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.930380	4.918990	4.914980	4.920220	4.920080	4.928380	4.938060	4.939150	4.951750	4.953640	4.973700
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.072600	5.060880	5.056760	5.062150	5.062000	5.070540	5.080500	5.081630	5.094590	5.096530	5.117170
Singapore Dollar	2.052740	2.057460	2.053760	2.055680	2.054940	2.048260	NA	2.046900	2.056880	2.060390	2.066410
South African Rand	6.364120	6.354820	6.348970	6.354390	6.344060	6.353410	6.376750	6.380870	6.394420	6.384620	6.391340
Sri Lanka Rupee	80.653700	80.504500	80.496300	80.578800	80.586600	80.722500	80.918400	80.936300	81.142700	81.170300	81.516000
Swedish Krona	10.706000	10.667000	10.708300	10.609600	10.586300	10.503300	10.512400	10.573700	10.583700	10.570700	10.463900
Swiss Franc	2.025380	2.021240	2.026350	2.028780	2.017100	2.003980	2.012260	2.013930	2.011440	2.007450	1.990430
Thai Baht	46.678800	47.111500	49.317300	51.243300	NA	NA	48.364500	48.079400	48.368000	48.842300	50.123700
Trinidad And Tobago Dollar	NA	8.478630	8.467000	8.475490	8.480110	8.494140	8.507570	8.499550	8.532380	8.540810	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.972370	4.960880	4.956840	4.962130	4.961980	4.970350	4.980120	4.981220	4.993920	4.995830	5.016050
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for September 1997 Continued

Currency	September 16, 1997	September 17, 1997	September 18, 1997	September 19, 1997	September 22, 1997	September 23, 1997	September 24, 1997	September 25, 1997	September 26, 1997	September 29, 1997	September 30, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.310600
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	164.879000	164.671000	164.801000	166.361000	166.122000	NA	163.563000	163.984000	165.871000	165.872000	165.190000
U.K. Pound Sterling	0.855046	0.853154	0.850318	0.847520	0.844659	0.844805	0.846358	0.843488	0.850836	0.845972	0.846274
U.S. Dollar	1.363200	1.363170	1.364250	1.360270	1.356100	1.357010	1.364160	1.363920	1.368570	1.366330	1.365210
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.900460	1.894610	1.903780	1.889000	1.883210	1.883690	1.895190	1.883610	1.887940	1.902170	1.896650
Bahrain Dinar	0.512563	0.512552	0.512958	0.511462	0.509894	0.510236	0.512924	0.512834	0.514582	0.513740	0.513319
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.488480	1.489130	1.491130	1.487320	1.482900	1.484700	1.492940	1.492950	1.498170	1.496540	1.495450
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.897030	1.892760	1.898350	1.890780	1.882810	1.886240	1.892500	1.887670	1.893690	1.891550	1.886720
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	565.811000
Colombian Peso	1,697.270000	1,695.210000	1,694.170000	1,681.720000	1,679.250000	1,686.020000	1,703.600000	1,707.460000	1,710.340000	1,696.600000	1,701.420000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.198190	9.200720	9.168440	9.223990	9.228940	9.273810	9.257870	9.213280	9.135890	9.155780	9.200830
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.141600	97.071300	97.066400	97.218500	97.408700	97.623300	97.946700	97.752100	97.360100	97.528600	97.284900
Indian Rupee	49.743200	49.701200	49.617800	49.513800	49.280700	49.300200	49.505400	49.414800	49.569600	49.433800	49.393300
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,394.620000	2,389.010000	2,388.960000	2,388.960000	2,383.870000	2,376.570000	2,378.160000	2,390.690000	2,390.690000	2,398.420000	2,394.490000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,238.740000	NA	1,239.690000	1,236.890000	1,237.440000	1,238.410000	1,246.570000	1,246.210000	1,251.690000	1,249.780000	1,248.890000
Kuwaiti Dinar	0.414685	0.414922	0.415250	NA	0.412905	0.413440	0.415141	0.414727	NA	0.415460	0.415297
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	4.059610	4.103820	4.103660	4.129100	4.166620	4.193840	4.150460	4.179050	4.254200	4.355180	4.365260
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.620700
Nepalese Rupee	80.128900	80.127100	80.190600	79.956700	79.711600	79.765000	80.185300	80.171200	80.444500	80.312900	80.247000
New Zealand Dollar	2.148120	2.148080	2.164100	2.144180	2.133910	2.136010	2.137180	2.126140	2.132730	2.134890	2.139160
Norwegian Krone	9.984080	9.926600	9.793950	10.011600	9.785620	9.822040	9.811720	9.788850	9.658680	9.713920	9.699820
Rial Omani	0.524150	0.524139	0.524554	0.523024	0.521420	0.521770	0.524520	0.524427	0.526215	0.525354	0.524923
Pakistani Rupee	55.375000	55.373700	55.417600	55.255900	55.086500	55.123500	55.414000	55.404200	55.593100	55.502100	55.456600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.553700
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.671070
Qatar Riyal	4.962050	4.961940	4.965870	4.951380	4.936200	4.939520	4.965540	4.964670	4.981590	4.973440	4.969360
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.105180	5.105070	5.109120	5.094210	5.078590	5.082000	5.108780	5.107880	5.125290	5.116910	5.112710
Singapore Dollar	2.060480	2.069020	2.069570	2.065980	2.068730	2.070800	2.064660	2.065250	2.078860	2.094450	2.088090
South African Rand	6.381820	6.384410	6.381280	6.365380	6.372990	6.382700	NA	6.400190	6.405590	6.380080	6.363930
Sri Lanka Rupee	NA	81.347200	81.411600	81.214900	80.982900	81.074600	81.494900	81.480600	81.751500	81.672400	81.615700
Swedish Krona	10.417600	10.388700	10.339700	10.348300	10.322000	10.364200	10.332000	10.281200	10.250600	10.365000	10.360600
Swiss Franc	1.983050	1.989270	1.988670	1.995920	1.994150	1.998200	1.999860	1.995820	1.982780	1.989510	1.982280
Thai Baht	49.931300	50.485000	50.309400	50.207600	50.506600	50.114400	49.625400	48.803800	48.763500	48.978800	49.861600
Trinidad And Tobago Dollar	8.549580	8.549260	8.556170	8.530660	8.513600	8.525010	8.559970	8.561740	8.587500	8.574680	8.572560
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.004310	5.004200	5.008160	4.993550	4.978240	4.981580	5.007830	5.006950	5.024020	5.015800	5.011690
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
