Currency units per SDR for May 1997
Currency	May 01, 1997	May 02, 1997	May 05, 1997	May 06, 1997	May 07, 1997	May 08, 1997	May 09, 1997	May 12, 1997	May 13, 1997	May 14, 1997	May 15, 1997
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,217.280000	1,216.780000	1,216.140000	1,219.590000	1,225.210000	1,229.390000	1,232.940000	1,236.810000	1,233.770000	NA	1,247.730000
Kuwaiti Dinar	0.415275	NA	0.414762	0.415939	0.416599	NA	NA	0.419521	0.419794	0.419599	0.422281
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	NA	3.422730	3.420300	3.424680	3.443330	NA	3.455970	3.472560	3.482000	3.495730	3.517570
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	77.818000	77.777500	77.762700	77.983400	78.158500	78.319900	78.642700	79.057800	79.004800	79.033300	79.675500
New Zealand Dollar	1.967000	1.974230	1.977580	1.988670	2.003920	2.004250	2.007820	1.999780	1.991550	1.997150	2.005570
Norwegian Krone	NA	9.661840	9.685910	9.759890	9.754390	NA	9.749320	9.694740	9.855860	9.746470	9.792830
Rial Omani	0.524654	0.524381	0.524281	0.525769	0.526950	0.528038	0.530214	0.533013	0.532656	0.532848	0.537177
Pakistani Rupee	55.045200	55.016500	55.006000	55.285600	55.409700	55.524200	55.753000	56.047300	56.009700	56.029900	56.485200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.966820	4.964230	4.963290	4.977370	4.988550	4.998850	5.019450	5.045950	5.042560	5.044380	5.085370
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.110090	5.107430	5.106460	5.120950	5.132450	5.143050	5.164240	5.191510	5.188020	5.189900	5.232060
Singapore Dollar	NA	1.972740	1.971410	1.976730	1.982400	1.984840	1.988200	1.987610	1.990150	1.991420	2.002990
South African Rand	NA	6.075050	6.076620	6.091810	6.106170	6.140760	6.155030	6.185450	6.187530	6.207780	6.262410
Sri Lanka Rupee	80.086500	80.085700	80.152300	80.379800	80.556800	80.764400	81.093800	81.518400	81.463700	81.482800	82.061000
Swedish Krona	NA	10.647200	10.744700	10.788200	10.658200	NA	10.590500	10.563200	10.662100	10.677700	10.602400
Swiss Franc	2.006240	2.003830	2.007130	2.012140	2.001590	NA	1.981720	1.979150	1.986960	2.004870	1.992240
Thai Baht	NA	35.581500	NA	35.689400	35.714700	35.774700	35.839400	35.834600	35.852100	35.837300	36.058600
Trinidad And Tobago Dollar	8.520680	8.513930	8.503040	8.533600	8.565770	8.586760	8.618980	8.663920	8.661020	8.658050	8.718760
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.009120	5.006510	5.005560	5.019760	5.031030	5.041420	5.062200	5.088920	5.085510	5.087350	5.128680
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 1997 Continued

Currency	May 16, 1997	May 19, 1997	May 20, 1997	May 21, 1997	May 22, 1997	May 23, 1997	May 26, 1997	May 27, 1997	May 28, 1997	May 29, 1997	May 30, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.540600
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	162.614000	161.019000	161.270000	159.565000	160.331000	160.873000	161.935000	161.605000	162.614000	160.635000	162.074000
U.K. Pound Sterling	0.849141	0.849524	0.850283	0.847477	0.851269	0.854879	NA	0.852085	0.851162	0.849279	0.849015
U.S. Dollar	1.393440	1.391690	1.399310	1.402150	1.395400	1.394650	1.395990	1.391710	1.391650	1.390780	1.391790
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.793590	1.795270	1.808360	1.805500	1.780530	1.816660	1.827210	1.817800	1.818910	1.814460	1.828180
Bahrain Dinar	0.523933	0.523275	0.526141	0.527208	0.524670	0.524388	0.524892	0.523283	0.523260	0.522933	0.523313
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.486800	1.484790	1.493340	1.497080	1.490430	1.490880	1.493850	1.490940	1.491850	NA	1.492560
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.909010	NA	1.924610	1.916600	1.913930	1.917500	1.922000	1.923620	1.925630	1.920670	1.921920
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	582.673000
Colombian Peso	1,497.280000	1,492.230000	1,502.220000	1,507.590000	1,507.650000	1,506.820000	1,503.050000	1,498.440000	1,497.750000	1,494.140000	1,498.120000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.011380	NA	9.025550	9.018630	9.001030	8.987120	8.960160	8.992530	9.031110	9.028250	9.006970
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	256.326000
Icelandic Krona	97.791600	NA	97.769800	97.603700	97.552400	97.625500	97.426100	97.600600	97.652100	97.730100	97.634100
Indian Rupee	49.940900	49.822500	50.095300	50.182900	49.941400	49.900600	49.948500	49.851100	49.862800	49.803800	49.812200
Indonesian Rupiah	3,369.340000	3,365.110000	3,383.530000	3,390.400000	3,374.080000	3,372.260000	3,375.500000	3,365.150000	3,365.010000	3,362.910000	3,365.350000
Iranian Rial	2,422.220000	2,442.000000	2,438.940000	2,452.290000	2,457.270000	2,457.270000	2,444.120000	NA	2,438.970000	2,438.870000	2,438.870000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,241.830000	1,241.670000	1,247.210000	1,248.750000	1,243.160000	NA	1,243.830000	1,240.430000	1,241.910000	1,241.410000	1,241.200000
Kuwaiti Dinar	NA	0.420471	0.422676	0.422566	0.421481	NA	0.421380	0.420505	0.421085	0.420238	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.471760	3.469900	3.497580	NA	3.485010	3.489830	3.489560	3.491380	3.501390	3.492250	3.498960
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.019500
Nepalese Rupee	79.467900	79.368100	79.802600	79.964600	79.579700	79.536900	79.613300	79.369200	79.365800	79.316200	79.373800
New Zealand Dollar	2.001780	2.008790	2.018330	2.016610	2.009220	2.014230	2.018790	2.010850	2.015420	2.016790	2.018550
Norwegian Krone	9.863470	NA	9.775580	9.852210	9.822920	9.821820	9.829860	9.809470	9.838270	9.843940	9.866400
Rial Omani	0.535778	0.535105	0.538035	0.539127	0.536531	0.536243	0.536758	0.535112	0.535089	0.534755	0.535143
Pakistani Rupee	56.338000	56.267300	56.575400	56.690200	56.417300	56.470800	56.525000	56.351700	56.349300	56.314100	56.355000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.666700
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.482260
Qatar Riyal	5.072120	5.065750	5.093490	5.103830	5.079260	5.076530	5.081400	5.065820	5.065610	5.062440	5.066120
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.218430	5.211880	5.240420	5.251050	5.225770	5.222960	5.227980	5.211950	5.211730	5.208470	5.212250
Singapore Dollar	1.996520	1.994290	2.000730	NA	1.995420	1.998250	1.996680	1.989870	1.991870	1.989230	1.990260
South African Rand	6.236340	6.220160	6.245820	6.251490	6.235340	6.234780	6.240770	6.229990	6.226940	6.214700	6.223390
Sri Lanka Rupee	81.909900	81.793100	82.240900	NA	NA	82.008900	82.080700	81.891700	81.888200	81.837000	81.924200
Swedish Krona	10.586700	NA	10.587200	10.496500	10.577100	10.584000	10.615100	10.628500	10.667000	10.706200	10.753000
Swiss Franc	1.995270	NA	1.971630	1.968340	1.968210	1.962410	1.953410	1.971360	1.975730	1.973660	1.963540
Thai Baht	35.978600	35.877800	NA	36.049300	35.931600	35.968000	35.988600	35.906100	35.932400	35.854300	35.908200
Trinidad And Tobago Dollar	8.699390	8.695000	8.741490	8.770870	8.736740	8.739990	8.749790	8.727830	8.722170	NA	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.115320	5.108890	5.136870	5.147290	5.122510	5.119760	5.124680	5.108970	5.108750	5.105550	5.109260
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.971500
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
