Currency units per SDR for December 1996
Currency	December 02, 1996	December 03, 1996	December 04, 1996	December 05, 1996	December 06, 1996	December 09, 1996	December 10, 1996	December 11, 1996	December 12, 1996	December 13, 1996	December 16, 1996
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,190.300000	1,193.970000	1,191.270000	1,198.880000	1,194.780000	1,197.630000	1,203.970000	1,208.400000	1,215.580000	1,211.310000
Kuwaiti Dinar	0.431996	0.430330	0.430774	0.429946	NA	0.430882	0.431005	0.432232	0.431283	NA	0.430937
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.648870	3.629010	3.624140	3.614690	3.641410	3.625310	3.627520	3.636420	3.632400	3.643700	3.631500
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	82.306300	81.835800	81.920200	81.784400	82.375800	81.995500	81.964100	82.230400	82.110100	82.264600	81.956700
New Zealand Dollar	2.026980	2.012850	2.028010	2.022080	2.062880	2.039090	2.036860	2.064550	2.063590	2.059510	2.052090
Norwegian Krone	9.260360	9.320070	9.326800	9.322110	9.294910	9.316680	9.325340	9.302290	9.298030	9.342220	9.317310
Rial Omani	0.554914	0.551742	0.552311	0.551396	0.555383	0.552819	0.552607	0.554403	0.553592	0.554634	0.552557
Pakistani Rupee	58.046300	57.714500	57.774000	57.678300	58.095400	57.827100	57.805000	57.992800	57.908000	58.017000	57.799800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.253280	5.223250	5.228640	5.219980	5.257730	5.233450	5.231440	5.248440	5.240760	5.250630	5.230970
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.404820	5.373930	5.379470	5.370550	5.409390	5.384410	5.382350	5.399840	5.391940	5.402090	5.381860
Singapore Dollar	2.023960	2.012670	2.015180	2.011130	2.022060	2.014160	2.013530	2.018920	2.015100	2.018460	2.013060
South African Rand	6.694330	6.679020	6.697400	6.707820	NA	6.739500	6.739800	6.738630	6.825950	6.819320	NA
Sri Lanka Rupee	81.667600	81.243800	81.327600	81.189300	81.776400	81.395200	81.396400	81.653700	81.530600	81.705700	81.421400
Swedish Krona	9.692600	9.731180	9.736190	9.747450	9.779370	9.801210	9.857390	9.803630	9.804830	9.832660	9.796000
Swiss Franc	1.891620	1.902040	1.895810	1.888230	1.878770	1.898710	1.906460	1.898960	1.896610	1.889650	1.906720
Thai Baht	36.816300	36.677600	36.701000	NA	36.861900	36.706000	NA	36.825600	36.728500	36.826500	36.731800
Trinidad And Tobago Dollar	8.911390	8.853560	8.872890	8.871530	8.931630	8.905200	8.906250	8.951770	8.922250	8.947700	8.914640
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.298020	5.267740	5.273170	5.264430	5.302500	5.278020	5.276000	5.293140	5.285400	5.295340	5.275520
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for December 1996 Continued

Currency	December 17, 1996	December 18, 1996	December 19, 1996	December 20, 1996	December 23, 1996	December 24, 1996	December 25, 1996	December 26, 1996	December 27, 1996	December 30, 1996	December 31, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	163.781000	163.462000	163.236000	164.129000	NA	164.198000	164.198000	165.083000	165.097000	166.483000	NA
U.K. Pound Sterling	0.864607	0.860090	0.860254	0.862329	0.858537	0.858633	0.858633	NA	0.852917	0.849885	0.846855
U.S. Dollar	1.439830	1.438930	1.437570	1.435950	1.438650	1.437180	1.437180	1.435500	1.435630	1.435200	1.437960
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.813840	1.813850	1.816260	1.803280	1.805310	1.797150	NA	NA	1.802880	1.800980	1.805350
Bahrain Dinar	0.541376	0.541038	0.540526	0.539917	0.540932	0.540380	NA	0.539748	0.539797	0.539635	0.540673
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.494690	1.496340	1.491480	1.489940	1.493170	1.491790	NA	1.490340	1.490330	1.491460	1.493470
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.966520	1.966590	1.967310	1.963810	1.966920	1.962330	NA	NA	1.966100	1.963780	1.969430
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,442.100000	1,439.510000	1,439.270000	1,437.530000	1,443.180000	1,440.790000	NA	1,439.100000	1,440.640000	1,442.950000	1,445.620000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.521630	8.538610	8.560730	8.546060	8.551340	NA	NA	NA	8.532670	8.537290	8.547950
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.324600	96.307600	96.360300	96.251700	96.288800	96.233600	NA	NA	96.086700	NA	96.185100
Indian Rupee	51.589100	51.600000	51.536900	51.464400	51.561200	51.479800	NA	51.462700	51.467300	51.581100	51.665900
Indonesian Rupiah	3,380.720000	3,378.610000	3,375.410000	3,371.610000	3,377.950000	3,374.500000	NA	3,370.550000	3,370.860000	3,369.850000	3,376.330000
Iranian Rial	2,518.480000	2,523.300000	2,521.720000	NA	2,516.500000	2,521.230000	NA	NA	NA	2,515.940000	2,515.190000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,215.220000	1,213.160000	1,212.880000	1,211.650000	1,214.360000	1,213.410000	NA	1,212.570000	1,211.530000	1,210.880000	1,213.930000
Kuwaiti Dinar	0.431373	0.431103	0.430696	NA	0.431264	0.430823	NA	0.430535	NA	0.430402	0.431230
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	NA	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.637590	3.632000	3.629860	3.626350	3.635900	3.633190	NA	3.629950	3.629990	3.630340	3.635020
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.300200
Nepalese Rupee	82.113500	82.062200	81.984600	81.892200	82.046200	81.962400	NA	81.866600	81.874000	81.849500	82.006900
New Zealand Dollar	2.034230	2.030380	2.032760	2.030470	NA	2.033360	NA	NA	2.034330	2.032570	2.033310
Norwegian Krone	9.279700	9.287570	9.307550	9.301370	9.290800	9.311490	NA	NA	9.272730	9.252730	9.264060
Rial Omani	0.553615	0.553269	0.552746	0.552123	0.553161	0.552596	NA	0.551950	0.552000	0.551834	0.552896
Pakistani Rupee	57.910400	57.874200	57.819500	57.754300	57.862900	57.803800	NA	57.736200	57.741500	57.724200	57.835200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.130540
Qatar Riyal	5.240980	5.237710	5.232750	5.226860	5.236690	5.231340	NA	5.225220	5.225690	5.224130	5.234170
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.392160	5.388790	5.383700	5.377630	5.387740	5.382240	NA	5.375950	5.376430	5.374820	5.385160
Singapore Dollar	2.016340	2.015220	2.012450	2.009900	2.013680	2.011910	NA	2.009410	2.009160	2.009420	2.012860
South African Rand	6.792400	6.739230	6.709860	6.706600	6.750870	6.738940	NA	NA	6.723770	6.716020	6.733250
Sri Lanka Rupee	81.566400	81.515400	81.434700	81.368100	81.521100	NA	NA	81.374900	81.382300	81.383000	NA
Swedish Krona	9.799480	9.809190	9.858860	9.853490	9.829720	NA	NA	NA	9.836220	9.861260	NA
Swiss Franc	1.903170	1.911190	1.918440	1.919580	1.926350	1.927260	NA	NA	1.936090	1.941830	1.936070
Thai Baht	36.787700	36.764700	36.729900	36.731600	36.786300	36.748700	NA	36.734400	36.737800	36.755500	NA
Trinidad And Tobago Dollar	8.934150	8.927270	8.916960	8.904180	8.934160	8.915690	NA	NA	8.926320	8.905990	8.907440
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.285620	5.282310	5.277320	5.271370	5.281280	5.275890	NA	5.269720	5.270200	5.268620	5.278750
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
