Currency units per SDR for September 2003
Currency	September 01, 2003	September 02, 2003	September 03, 2003	September 04, 2003	September 05, 2003	September 08, 2003	September 09, 2003	September 10, 2003	September 11, 2003	September 12, 2003	September 15, 2003
Russian Ruble	42.733600	42.697800	42.755000	42.768900	43.179800	43.242300	43.147300	43.187400	43.204600	43.264000	43.771900
Saudi Arabian Riyal	5.219780	5.218930	5.241690	5.248130	5.310590	5.316720	5.313550	5.314800	5.312080	5.299890	5.361730
Singapore Dollar	2.438690	2.434380	2.443740	2.445910	2.451790	2.453490	2.459810	2.456280	2.452480	2.444320	2.471400
South African Rand	10.432600	10.284800	10.210800	10.286400	10.288400	10.165600	NA	10.069700	10.185000	10.175800	9.901280
Sri Lanka Rupee	131.841000	130.853000	131.850000	132.297000	133.738000	134.315000	134.539000	134.969000	135.383000	134.255000	135.017000
Swedish Krona	11.330400	11.311100	11.168300	11.220500	11.191200	11.143800	11.048600	10.994500	11.013700	11.069700	10.955800
Swiss Franc	1.932990	NA	1.931320	1.933970	1.917050	1.918130	1.918690	1.912190	1.904560	1.910080	1.880890
Thai Baht	56.458600	56.379600	56.758500	56.726000	NA	56.739800	56.812400	56.832700	56.837900	56.613000	57.158900
Trinidad And Tobago Dollar	NA	8.722960	8.760860	8.758410	8.891020	8.884310	NA	NA	NA	8.859360	8.967810
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.111900	5.111060	5.133360	5.139670	5.200830	5.206840	5.203730	5.204940	5.202290	5.190380	5.250910
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
