Currency units per SDR for January 1995
Currency	January 02, 1995	January 03, 1995	January 04, 1995	January 05, 1995	January 06, 1995	January 09, 1995	January 10, 1995	January 11, 1995	January 12, 1995	January 13, 1995	January 16, 1995
Korean Won	NA	1,148.100000	1,144.850000	1,147.400000	1,149.240000	1,148.090000	1,155.630000	1,157.300000	1,155.860000	1,160.660000	1,163.150000
Kuwaiti Dinar	NA	0.436183	0.435318	0.435845	NA	0.435761	0.437224	0.437587	0.437593	NA	0.438367
Libyan Dinar	NA	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	NA	3.715650	3.703870	3.705170	3.711010	3.708090	3.725470	3.734030	3.740960	3.758920	3.750450
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	72.609800	72.422300	72.510100	72.598800	72.462200	72.873200	72.960500	72.961500	73.283200	73.180900
New Zealand Dollar	NA	NA	2.268290	2.278150	2.278800	2.279510	2.293880	2.280160	2.275220	2.294530	2.297790
Norwegian Krone	NA	9.897240	9.878930	9.868370	9.850620	9.887280	9.842550	9.851420	9.855210	9.840630	9.856250
Rial Omani	NA	0.559713	0.558267	0.558944	0.559628	0.558575	0.561743	0.562416	0.562424	0.564904	0.564115
Pakistani Rupee	NA	44.947300	44.831200	44.885600	44.940500	44.855900	45.198300	45.252500	45.253100	45.452600	45.389200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	NA	5.298710	5.285030	5.291430	5.297910	5.287940	5.317930	5.324300	5.324370	5.347850	5.340390
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	NA	5.451560	5.437480	5.444070	5.450740	5.440470	5.471330	5.477890	5.477960	5.502120	5.494440
Singapore Dollar	NA	2.119920	2.110670	2.110760	2.114360	2.111540	2.118700	2.120800	2.125800	2.150160	2.128670
South African Rand	NA	5.168430	5.163790	5.167140	5.174920	5.162280	5.166720	5.158280	5.164200	5.181100	5.188540
Sri Lanka Rupee	NA	72.842700	72.698100	72.786300	72.875400	72.839900	73.209200	73.267600	73.327200	73.577000	NA
Swedish Krona	NA	10.857700	10.814000	10.822700	NA	10.929000	10.960200	10.987200	10.955900	10.999500	10.969100
Swiss Franc	NA	1.916850	1.910890	1.901430	1.897930	1.899440	1.881730	1.883250	1.887370	1.887470	1.895540
Thai Baht	NA	36.537800	36.487000	36.545800	36.576000	36.536200	36.655700	36.670400	36.685500	36.803200	36.737200
Trinidad And Tobago Dollar	NA	8.552180	8.528350	8.533160	8.559620	8.548300	8.614030	8.583530	8.587450	8.650740	8.614310
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	NA	5.343840	5.330040	5.336500	5.343030	5.332970	5.363220	5.369650	5.369720	5.393400	5.385870
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for January 1995 Continued

Currency	January 17, 1995	January 18, 1995	January 19, 1995	January 20, 1995	January 23, 1995	January 24, 1995	January 25, 1995	January 26, 1995	January 27, 1995	January 30, 1995	January 31, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.461000
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	145.389000	145.314000	145.590000	146.020000	146.861000	147.074000	146.954000	146.555000	146.220000	146.163000	145.529000
U.K. Pound Sterling	0.936714	0.932409	0.932868	0.929161	0.926618	0.921519	0.922611	0.923758	0.926398	0.928429	0.926993
U.S. Dollar	1.468580	1.469010	1.463950	1.472720	1.470080	1.474430	1.475440	1.472470	1.472510	1.474160	1.476700
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.928280	1.933930	1.922960	1.919100	1.908950	1.915340	1.913420	NA	1.931160	1.939430	1.947380
Bahrain Dinar	0.552186	0.552348	0.550445	0.553743	0.552750	0.554386	0.554765	0.553649	0.553664	0.554284	0.555239
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.245360	1.239840	1.235570	1.245920	1.243690	1.253270	1.257070	1.253070	1.242800	1.242720	1.247810
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.087150	2.088200	2.080420	2.096420	2.086630	2.085430	2.087300	2.083250	2.083600	2.091830	2.080080
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606.259000
Colombian Peso	1,243.310000	1,245.150000	1,244.740000	1,255.760000	1,257.710000	1,261.360000	1,263.940000	1,262.730000	1,265.330000	1,264.580000	1,264.660000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.863610	8.846380	8.853240	8.795080	8.773440	8.789080	8.774440	8.817890	8.806350	8.812530	8.784890
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	99.643200	99.540100	99.563200	99.187700	98.936400	99.096400	98.987300	99.303400	99.217700	99.284700	99.116100
Indian Rupee	46.069400	46.082800	45.938800	46.199200	46.116400	46.267600	46.299300	NA	46.236800	46.259100	46.324100
Indonesian Rupiah	3,236.750000	3,237.700000	3,226.550000	3,245.870000	3,240.060000	3,251.120000	3,253.350000	3,246.800000	3,246.880000	3,250.520000	3,259.080000
Iranian Rial	2,569.610000	2,568.550000	2,569.300000	2,569.300000	2,575.790000	2,571.170000	2,578.780000	2,580.540000	2,580.540000	2,575.420000	2,578.300000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,164.140000	1,163.460000	1,160.180000	1,166.980000	1,165.040000	1,168.190000	1,165.750000	1,159.420000	1,156.360000	NA	NA
Kuwaiti Dinar	0.439061	0.439190	0.437897	NA	0.438834	0.440471	0.440522	0.439635	NA	0.440140	0.440411
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.750750	3.746270	3.738200	3.751900	3.754580	3.773510	3.778600	3.770260	3.764470	3.769720	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.860200
Nepalese Rupee	73.252800	73.274200	73.021800	73.459300	73.327600	73.544600	73.594900	73.476300	73.478200	73.560600	73.687300
New Zealand Dollar	2.291080	2.297120	2.284570	2.292170	2.284150	2.281690	2.280430	2.290000	2.296130	2.305180	2.302310
Norwegian Krone	9.835080	9.820330	9.830420	9.756030	9.729720	9.748190	9.736430	9.787510	9.767160	9.779580	9.754340
Rial Omani	0.564669	0.564834	0.562889	0.566261	0.565246	0.566918	0.567307	0.566165	0.566180	0.566815	0.567791
Pakistani Rupee	45.433800	45.447100	45.290500	45.561800	45.480200	45.614700	45.646000	45.554100	45.555300	45.606400	45.685000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.253000
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.588380
Qatar Riyal	5.345630	5.347200	5.328780	5.360700	5.351090	5.366930	5.370600	5.359790	5.359940	5.365940	5.375190
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.499830	5.501440	5.482490	5.515340	5.505450	5.521740	5.525520	5.514400	5.514550	5.520730	5.530240
Singapore Dollar	2.129150	2.129180	2.129750	2.134410	2.129700	2.139840	2.144700	2.138030	2.137200	2.140920	NA
South African Rand	5.196570	5.190750	5.188970	5.203860	5.191590	5.208420	5.209040	5.208860	5.214890	5.208940	5.219400
Sri Lanka Rupee	73.634600	73.626800	73.446400	73.886400	73.724500	73.986900	74.008100	73.873800	73.875800	73.966000	74.027000
Swedish Krona	10.947800	10.926500	10.977600	10.959000	10.935200	10.981400	10.956500	11.032900	10.993300	10.965100	10.972600
Swiss Franc	1.886390	1.884010	1.895080	1.872120	1.868180	1.869130	1.867460	1.881080	1.876570	1.879850	1.873930
Thai Baht	36.787900	36.798700	36.701200	36.891600	36.825500	36.949200	36.959800	36.900100	36.901100	36.927700	36.947000
Trinidad And Tobago Dollar	8.611020	8.613830	8.584020	8.623510	8.622750	8.677610	8.718370	8.663720	8.618010	8.689140	8.713860
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.391160	5.392740	5.374160	5.406360	5.396660	5.412630	5.416340	5.405440	5.405580	5.411640	5.420970
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
