Currency units per SDR for November 1999
Currency	November 01, 1999	November 02, 1999	November 03, 1999	November 04, 1999	November 05, 1999	November 08, 1999	November 09, 1999	November 10, 1999	November 11, 1999	November 12, 1999	November 15, 1999
Iranian Rial	2,419.710000	2,432.420000	2,426.110000	2,429.440000	2,429.440000	2,413.100000	2,409.990000	2,414.100000	2,413.720000	NA	2,414.310000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,666.260000	1,655.570000	1,654.370000	1,651.280000	1,634.850000	1,628.060000	1,631.400000	1,630.170000	1,628.510000	1,619.240000	1,606.250000
Kuwaiti Dinar	0.420708	0.419616	0.420192	NA	NA	0.417983	0.418697	0.418355	0.418458	NA	0.418021
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.274290	5.260610	5.267830	5.256650	5.232410	5.225650	5.234580	5.233740	5.235030	5.229560	5.222680
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	95.388200	95.140800	95.271400	95.069400	94.630900	94.508600	94.670100	94.654900	94.678300	94.579300	94.455000
New Zealand Dollar	2.722840	2.713650	2.711000	2.691040	2.684900	2.683260	2.703940	2.703500	NA	2.679260	2.648920
Norwegian Krone	10.837100	10.887800	10.909400	10.876700	10.895400	10.874400	10.838200	10.834300	10.846000	10.935000	10.896000
Rial Omani	0.533674	0.532290	0.533021	0.531890	0.529437	0.528753	0.529656	0.529572	0.529703	0.529149	0.528453
Pakistani Rupee	71.849700	71.659800	71.758200	71.606000	71.275800	71.186300	71.307900	71.296600	71.314200	71.239600	71.144600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.052210	5.039110	5.046020	5.035320	5.012100	5.005620	5.014170	5.013370	5.014610	5.009370	5.002780
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.197950	5.184470	5.191580	5.180570	5.156680	5.150010	5.158810	5.157990	5.159260	5.153870	5.147090
Singapore Dollar	2.301950	2.304980	2.317840	2.310850	2.297170	NA	2.301150	2.304220	2.308920	2.298670	2.289460
South African Rand	8.526990	8.509030	8.530410	8.476350	8.415230	8.424980	8.422850	8.432520	8.447000	8.432670	8.425700
Sri Lanka Rupee	99.378700	99.162400	99.270800	99.198600	98.823700	98.778500	98.947300	98.848800	98.873200	98.921300	98.763700
Swedish Krona	11.346700	11.400300	11.436700	11.422800	11.521600	11.410500	11.492000	11.438500	11.420600	11.446500	11.465800
Swiss Franc	2.108330	2.112690	2.123350	2.119400	2.137030	2.126290	2.128820	2.129030	2.129420	2.134490	2.139650
Thai Baht	53.545100	53.494800	53.729100	53.586100	53.037400	53.261700	53.534600	53.756000	53.756900	53.457100	53.026700
Trinidad And Tobago Dollar	NA	8.678750	8.698840	8.673890	8.635540	NA	8.641050	8.637320	8.632840	8.614190	8.610000
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.097320	5.084100	5.091080	5.080280	5.056850	5.050310	5.058940	5.058130	5.059380	5.054090	5.047450
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for November 1999 Continued

Currency	November 16, 1999	November 17, 1999	November 18, 1999	November 19, 1999	November 22, 1999	November 23, 1999	November 24, 1999	November 25, 1999	November 26, 1999	November 29, 1999	November 30, 1999
Chinese Yuan	11.371500	11.398900	11.387200	11.349800	11.373100	11.389700	11.358700	NA	NA	NA	11.339000
Euro	1.329030	1.323010	1.325170	1.333790	1.332370	1.333810	1.343190	1.345340	1.354120	1.362450	1.356470
Japanese Yen	144.471000	145.754000	145.600000	145.600000	146.105000	NA	143.450000	143.110000	142.662000	142.237000	140.387000
U.K. Pound Sterling	0.846337	0.847222	0.847262	0.847447	0.847717	0.846665	0.848109	0.848821	0.851151	0.856108	0.858971
U.S. Dollar	1.373690	1.376990	1.375530	1.371000	1.373810	1.375830	1.372070	1.371440	1.367800	1.372940	1.369630
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.130410	2.141840	2.148930	2.147890	2.148590	2.160880	2.158700	2.167260	2.143220	2.158370	2.148100
Bahrain Dinar	0.516507	0.517748	0.517199	0.515496	0.516553	0.517312	0.515898	0.515661	0.514293	0.516225	0.514981
Botswana Pula	6.342060	6.360230	6.347620	6.335490	6.342610	6.343150	6.334580	NA	NA	6.344450	6.349700
Brazilian Real	2.654380	2.660760	2.657390	2.643560	2.652140	2.657280	2.650840	2.645100	2.638760	2.643600	NA
Brunei Dollar	2.292410	2.301640	2.293010	2.289570	2.295640	2.299700	NA	2.292360	2.286280	2.298160	2.305770
Canadian Dollar	2.018500	2.020600	2.013780	2.004810	2.008240	2.015180	2.015160	2.013960	2.008200	2.024810	2.017190
Chilean Peso	679.509000	680.426000	680.158000	678.823000	680.077000	680.898000	679.929000	679.795000	678.757000	680.649000	679.693000
Colombian Peso	2,694.910000	2,701.240000	2,677.150000	2,642.560000	NA	2,662.890000	2,641.230000	2,623.370000	2,624.600000	2,638.690000	2,634.850000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.878200	9.840930	9.839580	9.889570	9.906130	9.904880	9.966440	9.999850	10.032900	10.093900	10.067500
Hungarian Forint	338.711000	337.858000	337.349000	338.843000	339.537000	340.050000	341.179000	341.749000	342.538000	344.306000	344.681000
Icelandic Krona	98.782000	98.372200	98.350400	98.520100	98.680800	99.101000	99.200700	99.429400	99.192900	99.675400	99.544700
Indian Rupee	59.590700	59.761400	59.684200	59.487700	59.595900	NA	59.520400	59.520500	59.348800	59.585600	59.455600
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,408.620000	2,407.390000	2,413.170000	NA	NA	2,407.600000	2,407.600000	2,404.550000	2,404.550000	2,423.060000	2,406.080000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,615.730000	1,630.360000	1,620.100000	1,611.060000	1,613.400000	1,614.950000	1,606.010000	1,596.490000	1,585.420000	1,592.340000	1,585.350000
Kuwaiti Dinar	0.417574	0.418867	0.417941	NA	0.418050	0.418225	0.417082	0.417233	NA	0.418088	0.416628
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.220020	5.232560	5.227010	5.209800	5.220480	5.228150	5.213870	5.211470	5.197640	5.217170	5.204590
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.406800	94.633600	94.533300	94.222000	94.415100	94.553900	94.295500	94.252200	94.002100	94.012100	94.127800
New Zealand Dollar	2.637910	2.662650	2.679000	2.682710	2.691370	2.699560	2.681130	2.687780	2.670180	2.682830	2.674280
Norwegian Krone	10.888100	10.862500	10.846900	10.909700	10.890200	10.897300	10.970500	10.955100	10.975900	11.052900	11.020600
Rial Omani	0.528184	0.529453	0.528891	0.527150	0.528230	0.529007	0.527561	0.527319	0.525919	0.527895	0.526623
Pakistani Rupee	71.108400	71.279200	71.203600	70.969100	71.114600	71.219200	71.024500	70.991900	70.803500	71.100500	70.928200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.000230	5.012240	5.006930	4.990440	5.000670	5.008020	4.994330	4.992040	4.978790	4.997500	4.985450
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.144470	5.156830	5.151360	5.134400	5.144920	5.152480	5.138400	5.136040	5.122410	5.141660	5.129260
Singapore Dollar	2.292410	2.301640	2.293010	2.289570	2.295640	2.299700	NA	2.292360	2.286280	2.298160	2.305770
South African Rand	8.443390	8.465050	8.445070	8.418630	8.433130	8.435900	8.415590	8.403500	8.386670	8.452510	8.454040
Sri Lanka Rupee	98.672200	98.991800	98.831800	98.602300	NA	98.894700	98.651800	98.688800	98.426900	98.769300	98.531200
Swedish Krona	11.490900	11.508200	11.410000	11.434100	11.447300	11.467500	11.511700	11.564700	11.513500	11.639100	11.655600
Swiss Franc	2.132240	2.121670	2.121340	2.133550	2.134210	2.133910	2.144960	2.152610	2.167010	2.175010	2.180450
Thai Baht	53.045000	53.525000	53.161500	53.074200	NA	53.358800	53.095000	53.152900	53.043300	53.546000	53.489500
Trinidad And Tobago Dollar	8.622240	8.625050	8.627740	8.597130	8.615160	8.632780	8.610970	8.599890	8.590190	8.612450	8.591550
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.044880	5.057000	5.051630	5.035000	5.045320	5.052740	5.038930	5.036610	5.023250	5.042120	5.029970
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
