Currency units per SDR for December 1998
Currency	December 01, 1998	December 02, 1998	December 03, 1998	December 04, 1998	December 07, 1998	December 08, 1998	December 09, 1998	December 10, 1998	December 11, 1998	December 14, 1998	December 15, 1998
Kuwaiti Dinar	0.420128	0.421462	0.422603	NA	0.420792	0.422135	0.422792	0.423254	NA	0.424360	0.423927
Libyan Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malaysian Ringgit	5.266150	5.287930	5.314000	5.311830	5.291230	5.301800	5.316730	5.325360	5.340560	5.354880	5.349410
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	93.786000	94.173800	94.638100	94.599500	94.232700	94.420800	94.686800	94.840400	95.111100	95.366300	95.268800
New Zealand Dollar	2.634660	2.640530	2.666200	2.662570	2.667490	2.675380	2.714140	2.695020	2.684640	2.702170	2.699410
Norwegian Krone	10.376400	10.386600	10.313300	10.350400	10.391000	10.519900	10.574700	10.588400	10.709900	10.717500	11.024300
Rial Omani	0.532852	0.535055	0.537692	0.537473	0.535389	0.536458	0.537969	0.538842	0.540380	0.541830	0.541276
Pakistani Rupee	63.907600	64.171800	64.488100	64.461900	64.211900	64.340100	64.521300	64.626000	64.810500	64.984300	64.917900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.044420	5.065280	5.090250	5.088170	5.068450	5.078560	5.092870	5.101130	5.115690	5.129420	5.124170
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.189930	5.211390	5.237080	5.234950	5.214650	5.225060	5.239780	5.248280	5.263260	5.277380	5.271990
Singapore Dollar	2.282460	2.300670	2.305990	2.302260	2.308650	2.318140	2.314880	2.308120	2.314010	2.322190	2.318550
South African Rand	7.841720	7.850490	8.015740	8.123610	8.245270	8.415210	8.438910	8.347500	8.385380	8.481150	8.486560
Sri Lanka Rupee	93.380000	93.741700	NA	94.099100	93.863000	94.186400	94.409800	94.534900	94.780100	95.002700	94.884500
Swedish Krona	11.291000	11.299500	11.241900	11.184200	11.326700	11.380000	11.286900	11.227400	11.360600	11.251600	11.319600
Swiss Franc	1.913140	1.910060	1.907310	1.911000	1.913340	1.906830	1.903390	1.894990	1.871300	1.884500	1.881870
Thai Baht	49.985500	NA	50.295600	NA	NA	50.191300	NA	NA	50.249000	50.379600	50.622300
Trinidad And Tobago Dollar	8.692620	NA	8.761240	8.769270	8.731930	8.756480	8.781280	8.775490	8.798010	8.837950	8.793870
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.089460	5.110500	5.135700	5.133600	5.113700	5.123910	5.138340	5.146680	5.161370	5.175210	5.169930
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for December 1998 Continued

Currency	December 16, 1998	December 17, 1998	December 18, 1998	December 21, 1998	December 22, 1998	December 23, 1998	December 24, 1998	December 28, 1998	December 29, 1998	December 30, 1998	December 31, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	1.197080	1.195090	1.194890	1.198060	1.197680	1.200060	NA	1.202070	1.200660	1.200030	1.206800
Japanese Yen	164.216000	163.238000	163.697000	162.504000	162.567000	NA	163.043000	163.898000	161.972000	162.623000	NA
U.K. Pound Sterling	0.837817	0.837915	0.838406	0.836162	0.834364	0.838128	0.836218	NA	0.837381	0.840666	0.846426
U.S. Dollar	1.408370	1.405770	1.409360	1.408180	1.402650	1.404200	1.401920	1.402580	1.404790	1.406770	1.408030
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.259180	2.252480	2.276830	2.273830	2.278880	2.295950	2.298980	NA	2.301800	2.305800	2.293580
Bahrain Dinar	0.529547	0.528570	0.529919	0.529476	0.527396	0.527979	0.527122	0.526716	0.528201	0.528946	0.529419
Botswana Pula	0.311109	0.315174	0.314428	0.315151	0.313633	0.314120	NA	0.313508	0.314954	0.315398	NA
Brazilian Real	1.696240	1.693250	1.699270	1.698270	1.691740	1.694310	1.692120	1.690950	1.696420	1.698820	1.700200
Brunei Dollar	NA	2.308270	2.307120	NA	2.300350	2.304290	2.301950	NA	2.313690	NA	NA
Canadian Dollar	2.167060	2.168120	2.176760	2.173240	2.177890	2.178620	2.174660	NA	2.179390	2.178810	NA
Chilean Peso	NA	NA	NA	NA	660.185000	NA	NA	NA	661.361000	NA	NA
Colombian Peso	2,153.500000	2,142.110000	2,136.560000	2,103.980000	2,072.430000	2,060.020000	2,081.680000	2,080.080000	2,117.750000	NA	NA
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.882730	8.888680	8.905890	8.915750	8.919590	8.920040	NA	8.955150	8.950760	8.952260	8.992380
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.093000	97.672900	98.063300	97.826300	97.778700	97.620000	97.615700	97.442400	97.478400	97.728300	97.872200
Indian Rupee	59.926100	59.815500	59.954200	59.918100	59.654700	59.748700	59.637700	59.563700	59.745700	59.844000	59.813100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,467.060000	2,468.170000	2,468.170000	2,469.900000	NA	2,458.140000	2,460.860000	NA	NA	NA	2,465.360000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,704.130000	1,701.680000	1,705.330000	1,701.790000	1,681.220000	1,692.620000	1,691.840000	1,690.810000	1,699.660000	1,701.210000	NA
Kuwaiti Dinar	0.424356	0.423826	NA	0.424059	0.423278	0.423479	0.423071	0.422886	0.423628	0.424226	0.424606
Libyan Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malaysian Ringgit	5.351810	5.341930	5.355570	5.351080	5.330070	5.335960	5.327300	5.323190	5.338200	5.345730	5.350510
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	95.311400	95.135500	95.378400	95.298600	94.924300	95.029200	94.874900	94.801800	95.069200	95.203200	95.288400
New Zealand Dollar	2.696480	NA	2.687570	NA	2.689650	2.677220	NA	NA	2.701520	2.679560	2.664200
Norwegian Krone	10.919100	10.702800	10.871800	10.777500	NA	NA	NA	10.713600	10.630000	10.569100	10.701000
Rial Omani	0.541518	0.540519	0.541899	0.541445	0.539319	0.539915	0.539038	0.538623	0.540142	0.540903	0.541388
Pakistani Rupee	64.947000	64.827100	64.992600	64.938200	64.683200	64.754700	64.649500	64.599700	64.781900	64.873200	64.931300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.126470	5.117000	5.130070	5.125780	5.105650	5.111290	5.102990	5.099060	5.113440	5.120640	5.125230
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.274350	5.264610	5.278050	5.273630	5.252920	5.258730	5.250190	5.246150	5.260940	5.268350	5.273070
Singapore Dollar	2.329440	2.320930	2.326850	2.321380	2.316480	2.323670	2.325790	2.324690	2.331250	2.333130	2.338030
South African Rand	NA	8.288420	8.345530	8.311780	8.284750	8.314970	8.273430	8.232040	8.258060	8.262660	8.251060
Sri Lanka Rupee	95.043100	94.923900	95.166300	95.058500	94.797400	94.958300	94.846200	94.913200	95.145700	95.258700	95.436300
Swedish Krona	11.264800	11.249000	11.342500	11.257700	11.231700	11.239900	NA	11.295000	11.360500	11.340000	NA
Swiss Franc	1.886790	1.888930	1.897140	1.902310	1.906620	1.914070	1.920350	1.926580	1.920350	1.921790	1.938150
Thai Baht	51.346400	51.531300	51.626300	50.993000	50.853100	51.003400	51.114000	51.361800	51.936500	NA	NA
Trinidad And Tobago Dollar	8.820900	8.801100	8.821890	8.814640	8.788580	8.792400	8.776440	8.775000	8.798480	8.821850	8.841160
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.172240	5.162690	5.175870	5.171540	5.151230	5.156920	5.148550	5.144580	5.159090	5.166360	5.170990
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
