Currency units per SDR for May 1996
Currency	May 01, 1996	May 02, 1996	May 03, 1996	May 06, 1996	May 07, 1996	May 08, 1996	May 09, 1996	May 10, 1996	May 13, 1996	May 14, 1996	May 15, 1996
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,125.770000	1,128.510000	1,128.090000	1,128.080000	1,127.950000	1,131.110000	1,131.920000	1,126.570000	1,125.670000	1,124.630000
Kuwaiti Dinar	NA	NA	NA	0.434641	0.434749	0.434760	0.435338	NA	0.434168	0.433820	0.433594
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	NA	3.603870	3.619430	3.615310	3.615780	3.608670	3.612670	3.621490	NA	3.606120	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	80.276400	80.323600	80.518700	80.530300	80.550300	80.487400	80.712900	80.770100	81.474300	81.409000	81.344900
New Zealand Dollar	2.106120	2.108680	2.106420	2.110720	2.111550	2.115350	2.114800	2.110160	2.102320	2.099420	2.098370
Norwegian Krone	NA	9.517110	9.519200	9.494490	9.493950	9.522100	9.481180	9.500260	9.533560	9.517970	9.505410
Rial Omani	0.555849	0.555875	0.557225	0.557306	0.557444	0.557310	0.558871	0.559267	0.556625	0.556179	0.555741
Pakistani Rupee	NA	50.364100	50.486300	50.493600	50.506200	50.494000	50.635400	50.671300	50.432000	50.391600	50.351900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.262130	5.262380	5.275160	5.275930	5.277240	5.275960	5.290740	5.294490	5.269480	5.265260	5.261110
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.413920	5.414180	5.427330	5.428120	5.429460	5.428150	5.443360	5.447210	5.421490	5.417140	5.412870
Singapore Dollar	NA	2.034690	2.037020	2.034280	2.036230	2.038780	2.043330	2.043030	2.034110	2.032770	2.034340
South African Rand	NA	6.296070	6.354830	6.377490	6.360950	6.486240	6.562550	6.392660	6.326270	6.277810	6.251180
Sri Lanka Rupee	NA	78.440600	NA	78.638800	78.658400	78.650200	78.870500	78.941000	78.611600	78.563000	78.558900
Swedish Krona	NA	9.866250	9.940920	9.906850	9.904970	9.898520	9.911130	9.832620	9.844090	9.768940	9.754730
Swiss Franc	1.804880	1.804970	1.803260	1.801500	1.802090	1.799190	1.796240	1.797940	1.811460	1.809570	1.804820
Thai Baht	NA	36.518600	36.563800	NA	36.578200	36.598400	36.671800	36.697800	36.524500	36.509700	36.524200
Trinidad And Tobago Dollar	8.574520	8.587080	8.586630	8.597440	8.592040	8.592140	8.617070	8.629000	8.588390	8.578610	8.552770
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.306940	5.307200	5.320090	5.320860	5.322180	5.320890	5.335800	5.339580	5.314360	5.310100	5.305920
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 1996 Continued

Currency	May 16, 1996	May 17, 1996	May 20, 1996	May 21, 1996	May 22, 1996	May 23, 1996	May 24, 1996	May 28, 1996	May 29, 1996	May 30, 1996	May 31, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.007000
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	153.926000	153.901000	154.612000	154.047000	154.489000	153.835000	153.983000	155.147000	156.103000	156.432000	156.045000
U.K. Pound Sterling	0.953288	0.954786	0.952996	0.952187	0.953314	0.953400	0.950710	0.949782	0.946044	0.941999	0.937522
U.S. Dollar	1.442610	1.444400	1.440930	1.441040	1.439790	1.439730	1.439090	1.434550	1.434770	1.446440	1.442190
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.799210	1.800320	1.803640	1.816740	1.814020	1.814860	1.821400	1.808330	1.799760	1.813260	1.806580
Bahrain Dinar	0.542421	0.543094	0.541790	0.541831	0.541361	0.541338	0.541098	0.539391	0.539474	0.543861	0.542263
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.435400	1.438190	1.433730	1.433550	1.432300	1.432530	1.432470	1.428520	1.428600	1.440510	1.436850
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.973490	1.978540	NA	1.977540	1.975680	1.979770	1.977740	1.974510	1.967790	1.978870	1.976230
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	588.486000
Colombian Peso	1,538.700000	1,539.560000	1,536.710000	1,536.830000	1,537.950000	1,538.940000	1,539.060000	1,534.680000	1,536.910000	1,550.930000	1,547.560000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	NA	8.526290	8.544710	8.531680	8.569630	8.582230	8.568340	8.570720	8.566290	8.550630	8.542090
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	97.179200	97.161900	97.255800	97.358600	97.426500	97.368800	97.262500	97.277400	97.330900	97.160300
Indian Rupee	50.433600	50.842900	50.432600	50.508500	50.378300	50.404900	50.468900	50.467500	50.475200	50.871300	50.606400
Indonesian Rupiah	NA	3,391.450000	3,383.300000	3,383.560000	3,382.070000	3,381.930000	3,380.420000	3,369.760000	3,370.270000	3,397.690000	3,387.700000
Iranian Rial	2,525.770000	2,525.770000	2,524.010000	2,525.230000	2,525.420000	2,523.230000	2,523.230000	2,522.010000	2,514.050000	2,514.430000	2,514.430000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,122.640000	1,124.750000	1,123.200000	1,123.720000	1,123.180000	1,124.290000	NA	1,122.680000	1,127.440000	1,140.520000	1,136.300000
Kuwaiti Dinar	0.432913	NA	0.432524	0.432125	0.432139	0.432034	NA	0.430652	0.430818	0.433614	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.593400	3.599160	NA	3.589630	3.592280	3.588810	3.587510	3.576330	3.586640	3.616240	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.701000
Nepalese Rupee	80.829400	80.929700	80.735300	80.741500	80.671400	80.668100	80.632200	80.377800	80.390200	81.044000	80.805900
New Zealand Dollar	2.100790	2.104620	2.106930	2.112960	2.108960	2.108570	2.104860	2.099750	2.094550	2.115300	2.120240
Norwegian Krone	NA	NA	9.492850	9.481320	9.519890	9.508700	9.500150	9.484530	9.475220	9.490090	9.462210
Rial Omani	0.554684	0.555372	0.554038	0.554080	0.553599	0.553576	0.553330	0.551584	0.551669	0.556156	0.554522
Pakistani Rupee	50.256100	50.318400	50.197500	50.201400	50.157800	50.155700	50.133400	50.090300	50.098000	50.505500	50.357100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.771000
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.879490
Qatar Riyal	5.251100	5.257620	5.244990	5.245390	5.240840	5.240620	5.238290	5.221760	5.222560	5.265040	5.249570
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.402570	5.409280	5.396280	5.396690	5.392010	5.391790	5.389390	5.372390	5.373210	5.416920	5.401000
Singapore Dollar	2.031630	2.033720	2.030130	2.029700	2.029530	2.029730	2.028830	2.025010	2.028620	2.039050	NA
South African Rand	6.282570	6.261470	6.232020	6.239700	6.263090	6.284420	6.281630	6.297670	6.298640	6.320940	6.295160
Sri Lanka Rupee	78.481600	78.579000	78.458600	78.461000	NA	78.447300	78.412400	78.312100	78.388700	79.026200	78.837300
Swedish Krona	NA	9.751140	9.721950	9.745750	9.796330	9.844870	9.851290	9.785780	9.776520	9.816120	9.747760
Swiss Franc	NA	1.813590	1.820040	1.823200	1.826950	1.824140	1.818430	1.824460	1.827750	1.813400	1.816730
Thai Baht	36.498000	36.528900	36.469900	36.472700	36.469900	36.468400	36.452100	36.380200	36.414500	36.652800	NA
Trinidad And Tobago Dollar	8.538380	8.541460	8.550050	8.554160	8.528600	8.526800	5.915100	8.493970	8.491690	NA	8.550020
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.295820	5.302390	5.289650	5.290060	5.285470	5.285250	5.282900	5.266230	5.267040	5.309880	5.294280
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
