Currency units per SDR for March 2001
Currency	March 01, 2001	March 02, 2001	March 05, 2001	March 06, 2001	March 07, 2001	March 08, 2001	March 09, 2001	March 12, 2001	March 13, 2001	March 14, 2001	March 15, 2001
Trinidad And Tobago Dollar	8.109510	8.121830	8.107930	8.101360	8.108000	8.100770	8.108330	8.082640	8.071350	8.064520	8.005760
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.750840	4.764450	4.750710	4.750550	4.750190	4.751880	4.757350	4.740240	4.729630	4.721730	4.694660
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 2001 Continued

Currency	March 16, 2001	March 19, 2001	March 20, 2001	March 21, 2001	March 22, 2001	March 23, 2001	March 26, 2001	March 27, 2001	March 28, 2001	March 29, 2001	March 30, 2001
Chinese Yuan	10.514400	10.537300	10.535900	10.510300	10.475100	10.503900	10.501800	10.515700	10.496500	10.486900	10.435300
Euro	1.419810	1.415130	1.411180	1.412470	1.423780	1.422330	1.420010	1.419150	1.431200	1.433090	1.427370
Japanese Yen	155.549000	156.967000	NA	156.504000	156.491000	156.215000	156.694000	155.627000	154.574000	155.063000	157.077000
U.K. Pound Sterling	0.887642	0.888818	0.889759	0.888968	0.890512	0.890718	0.886014	0.886368	0.886926	0.879275	0.884353
U.S. Dollar	1.270300	1.273050	1.272890	1.269810	1.265600	1.269000	1.268780	1.270430	1.268040	1.266860	1.260650
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.569380	2.557350	2.543230	2.532520	2.568700	2.566240	2.575670	2.546970	2.539130	2.567610	2.578020
Bahrain Dinar	0.477635	0.478666	0.478606	0.477448	0.475864	0.477145	0.477061	0.477680	0.476783	0.476338	0.474006
Botswana Pula	7.057210	7.108030	7.127020	7.105810	7.134140	7.085460	7.096070	7.109290	7.115820	7.101210	7.078340
Brazilian Real	2.649340	2.700010	2.707310	2.656560	2.656740	2.717070	2.737770	2.714260	2.691800	2.680920	2.692880
Brunei Dollar	2.249070	2.253930	2.256190	2.255550	2.255290	2.262380	2.272130	2.274070	2.270430	2.278440	2.269800
Canadian Dollar	1.990560	NA	1.986590	1.996900	1.991040	1.987770	1.972570	1.993680	1.987020	1.991750	1.988550
Chilean Peso	675.178000	676.219000	675.991000	674.978000	673.691000	675.096000	675.178000	675.867000	675.028000	675.069000	671.763000
Colombian Peso	2,897.580000	NA	2,905.950000	2,897.910000	2,890.670000	2,906.050000	NA	2,914.350000	2,916.090000	2,918.660000	2,911.890000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.604100	10.570500	10.514900	10.554400	10.623900	10.610500	10.617900	10.585700	10.662300	10.653100	10.680100
Hungarian Forint	NA	377.840000	375.171000	376.574000	379.009000	378.950000	378.972000	378.384000	379.753000	381.387000	381.713000
Icelandic Krona	112.282000	111.926000	111.683000	111.730000	112.119000	112.053000	112.604000	113.398000	116.926000	114.562000	115.160000
Indian Rupee	59.284900	59.438500	59.443800	59.300000	59.077900	59.224500	NA	59.240000	59.116000	59.111400	58.796900
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,253.190000	2,226.200000	NA	NA	NA	NA	2,223.920000	2,223.540000	2,226.430000	2,222.240000	2,222.240000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.342340	5.284660
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	1,657.970000	1,651.090000	1,656.500000
Kuwaiti Dinar	NA	0.392277	0.392228	0.390668	0.389930	NA	0.390911	0.391126	0.390392	0.390204	NA
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.827140	4.837580	4.836970	4.825250	4.809260	4.822230	4.821350	4.827630	4.818560	4.814060	4.790470
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.002600	94.205400	94.193900	93.965500	93.654000	93.906400	94.207200	94.328900	94.152200	94.063600	93.603200
New Zealand Dollar	3.085130	3.032880	3.032490	3.012950	3.048530	3.036260	3.130080	3.088430	3.081890	3.080500	3.124680
Norwegian Krone	11.599100	11.495100	11.467900	11.474200	11.556000	11.500200	11.477900	11.473900	11.565600	11.557900	11.500300
Rial Omani	0.488431	0.489488	0.489426	0.488241	0.486623	0.487933	0.487845	0.488479	0.487562	0.487106	0.484719
Pakistani Rupee	76.756000	76.921900	76.911800	76.726000	76.471300	76.677100	77.180100	77.280300	77.135500	77.063000	76.807900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	5.228290	5.238810	5.243920	5.219750	5.219040	5.220650	5.182070	5.168680
Qatar Riyal	4.623890	4.633900	4.633300	4.622100	4.606770	4.619170	4.618360	4.624360	4.615680	4.611360	4.588780
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.757280	4.767560	4.766970	4.755430	4.739650	4.752420	4.751560	4.757760	4.748810	4.744370	4.721150
Singapore Dollar	2.249070	2.253930	2.256190	2.255550	2.255290	2.262380	2.272130	2.274070	2.270430	2.278440	2.269800
South African Rand	10.019500	10.151900	10.178600	NA	10.181100	10.061300	10.095000	10.108100	10.146200	10.124100	10.103500
Sri Lanka Rupee	108.613000	108.842000	108.828000	108.601000	108.250000	108.658000	108.611000	108.944000	108.974000	109.329000	109.415000
Swedish Krona	12.899900	12.994600	12.897500	12.856800	13.079900	13.156400	12.976400	12.980600	12.956200	13.191100	13.095000
Swiss Franc	2.180350	2.170930	2.163780	2.166420	2.171130	2.175080	2.178240	2.179160	2.188390	2.182790	2.183070
Thai Baht	55.841300	55.974700	55.919000	55.988200	56.148200	NA	NA	NA	56.222400	56.590500	56.563000
Trinidad And Tobago Dollar	7.958680	7.978680	7.957730	7.949250	7.928580	7.945460	7.939280	7.958110	7.945530	7.935560	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.665180	4.675280	4.674670	4.663350	4.647900	4.660420	4.659590	4.665640	4.656880	4.652530	4.629740
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
