Currency units per SDR for October 1995
Currency	October 02, 1995	October 03, 1995	October 04, 1995	October 05, 1995	October 06, 1995	October 09, 1995	October 10, 1995	October 11, 1995	October 12, 1995	October 13, 1995	October 16, 1995
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,149.360000	1,150.290000	1,145.900000	1,146.540000	1,150.790000	1,153.420000	1,147.050000	1,148.760000	1,151.990000	1,148.110000	1,150.230000
Kuwaiti Dinar	0.447582	0.447633	0.447782	NA	NA	0.449112	0.447940	0.448336	0.449243	NA	0.448899
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.770110	3.772140	3.770880	3.776320	3.799480	3.802030	3.793060	3.792520	3.807100	3.799890	3.800440
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	81.146100	81.212300	80.944300	80.968100	81.310400	81.390700	81.067400	81.103800	81.194900	81.079300	81.186800
New Zealand Dollar	2.277030	2.279230	2.272060	2.260680	2.268520	2.262540	2.252190	2.260360	2.268380	2.253200	2.269190
Norwegian Krone	9.408460	9.395920	9.404450	9.418420	9.386300	9.362560	9.375430	9.352720	9.369220	9.360370	9.346580
Rial Omani	0.575127	0.575597	0.573697	0.573866	0.576292	0.576862	0.574570	0.574828	0.575473	0.574654	0.575416
Pakistani Rupee	47.309900	47.453600	47.297000	47.310900	47.510900	47.557800	47.368900	47.390200	47.443400	47.375900	47.528600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.444640	5.449080	5.431100	5.432700	5.455670	5.461060	5.439360	5.441800	5.447920	5.440160	5.447370
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.601700	5.606270	5.587760	5.589410	5.613040	5.618590	5.596270	5.598780	5.605070	5.597090	5.604500
Singapore Dollar	2.136720	2.139060	2.138870	2.139200	2.142550	2.141660	2.132410	2.134260	2.130820	2.131230	2.134800
South African Rand	5.473810	5.484260	5.463180	5.469270	5.484900	5.479810	5.456550	5.461980	5.472610	5.467810	5.469070
Sri Lanka Rupee	78.420000	78.454000	78.418900	78.382400	78.713800	78.791500	78.538200	78.648200	78.818900	78.661900	78.870900
Swedish Krona	10.414500	10.459500	10.389200	10.384800	10.457900	10.450300	10.396100	10.382800	10.400900	10.413300	10.407200
Swiss Franc	1.727630	1.723800	1.723330	1.723090	1.710140	1.720830	1.722510	1.720750	1.727920	1.728150	1.721760
Thai Baht	37.544100	37.574700	37.510400	37.461800	37.605100	37.657300	37.492700	37.539500	37.611600	37.513200	37.592800
Trinidad And Tobago Dollar	8.818070	8.822420	8.776450	8.756650	8.791270	8.804750	8.802950	8.830670	8.821880	8.807080	8.846590
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.491010	5.495490	5.477350	5.478970	5.502130	5.507560	5.485690	5.488150	5.494310	5.486490	5.493760
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 1995 Continued

Currency	October 17, 1995	October 18, 1995	October 19, 1995	October 20, 1995	October 23, 1995	October 24, 1995	October 25, 1995	October 26, 1995	October 27, 1995	October 30, 1995	October 31, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.427000
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	150.192000	150.101000	150.647000	150.826000	150.389000	151.123000	150.919000	152.186000	152.254000	152.460000	151.996000
U.K. Pound Sterling	0.950957	0.952244	0.951836	0.953318	0.955301	0.953777	0.951199	0.951806	0.950411	0.950883	0.949162
U.S. Dollar	1.495190	1.500260	1.496000	1.498520	1.508420	1.508970	1.503180	1.502330	1.503740	1.497640	1.494550
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.974890	1.997420	1.972830	1.993240	2.014180	2.012230	2.006650	1.985370	1.995410	1.972400	1.975350
Bahrain Dinar	0.562191	0.564098	0.562496	0.563444	0.567166	0.567373	0.565196	0.564876	0.565406	0.563113	0.561951
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.431640	1.436500	1.433170	1.436030	1.448540	1.449370	1.444110	1.443290	1.445090	1.439530	1.435810
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.001310	2.008850	2.000150	2.023750	2.063970	2.068040	2.053950	2.051730	2.060120	2.039190	2.001950
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	620.462000
Colombian Peso	1,475.750000	1,486.040000	1,482.870000	1,485.810000	1,491.770000	1,496.870000	1,493.680000	1,494.470000	1,496.240000	1,490.140000	1,486.330000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.248960	8.225930	8.236980	8.208890	8.156780	8.145420	8.136710	8.131360	8.135230	8.198080	8.175940
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.963100	96.871800	96.836100	96.699500	96.689700	96.664600	NA	96.449600	96.464900	96.747500	96.458300
Indian Rupee	51.763500	52.224100	52.105700	53.197500	53.548900	NA	53.152400	53.543000	53.412800	52.192800	51.741300
Indonesian Rupiah	3,410.530000	3,422.090000	3,412.380000	3,418.120000	3,440.710000	3,443.470000	3,430.260000	3,428.320000	3,431.530000	3,417.610000	3,415.050000
Iranian Rial	2,615.190000	2,612.840000	2,621.710000	2,621.710000	2,618.660000	2,635.960000	2,636.930000	2,626.810000	2,626.810000	2,627.790000	2,617.130000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,149.350000	NA	NA	1,148.470000	1,157.710000	1,155.870000	1,151.290000	1,150.030000	1,152.170000	1,147.190000	1,144.080000
Kuwaiti Dinar	0.448497	0.449628	0.448845	NA	0.451349	0.451952	0.450112	0.450203	NA	0.449022	0.448245
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.791800	3.780210	3.777400	3.783760	NA	3.802600	3.797780	3.805400	3.819500	3.807750	3.802880
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.559000
Nepalese Rupee	81.487900	81.764200	81.532000	82.418600	82.963100	82.993400	82.674900	82.628200	84.209400	83.867800	83.694800
New Zealand Dollar	2.256890	2.277950	2.274940	2.276690	NA	2.288750	2.282390	2.283520	NA	2.273630	2.260020
Norwegian Krone	9.357650	9.332370	9.335790	9.311800	9.292620	9.285450	9.267860	9.279890	9.287100	9.344520	9.328230
Rial Omani	0.574901	0.576850	0.575212	0.576181	0.579987	0.580199	0.577973	0.577646	0.578188	0.575843	0.574654
Pakistani Rupee	47.486000	47.767400	47.631700	47.712000	48.163400	48.181000	47.996100	47.968900	48.014000	51.422500	51.316400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.873200
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.666130
Qatar Riyal	5.442490	5.460950	5.445440	5.454610	5.490650	5.492650	5.471580	5.468480	5.473610	5.451410	5.440160
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.599490	5.618470	5.602520	5.611960	5.649030	5.651090	5.629410	5.626230	5.631510	5.608660	5.597090
Singapore Dollar	2.132740	2.131870	2.130000	2.132840	NA	2.138510	2.128500	2.126550	2.126590	2.119910	2.116280
South African Rand	5.462680	5.478200	5.461150	5.458360	5.483860	5.487370	5.469320	5.462470	5.466850	5.464140	5.451370
Sri Lanka Rupee	78.800300	79.067500	79.067300	NA	NA	79.737700	79.537000	79.612200	79.732100	79.520900	79.356900
Swedish Krona	10.360900	10.293300	10.167600	10.081300	10.114700	10.033900	9.952550	9.917630	9.911150	9.949570	9.939500
Swiss Franc	1.724700	1.720800	1.726380	1.725550	1.709790	1.699850	1.709870	1.704690	1.696220	1.704610	1.705730
Thai Baht	37.559200	37.641500	37.579500	37.612900	NA	37.829900	37.699800	37.723500	37.758900	37.650700	37.573000
Trinidad And Tobago Dollar	8.802630	8.812680	8.806650	8.779830	NA	8.836380	8.854030	8.859390	8.823500	8.801330	8.781230
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.488840	5.507450	5.491820	5.501070	5.537410	5.539430	5.518170	5.515050	5.520230	5.497840	5.486490
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
