Currency units per SDR for August 1999
Currency	August 02, 1999	August 03, 1999	August 04, 1999	August 05, 1999	August 06, 1999	August 09, 1999	August 10, 1999	August 11, 1999	August 12, 1999	August 13, 1999	August 16, 1999
Korean Won	1,648.570000	1,640.480000	1,639.940000	1,642.760000	1,641.580000	1,635.990000	1,638.980000	1,635.990000	1,631.890000	1,643.920000	1,642.480000
Kuwaiti Dinar	0.415822	0.414949	0.416786	0.416605	NA	0.414992	0.416341	0.415339	0.414370	NA	0.414721
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.190610	5.177160	5.200070	5.203800	5.192700	5.178030	5.194870	5.182360	5.166370	5.181150	5.168040
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	93.533400	93.291000	93.703900	93.771000	93.571100	NA	93.951900	93.725800	93.436400	93.703800	93.466700
New Zealand Dollar	2.593660	2.582030	2.555200	2.557030	2.567880	2.584920	2.584990	2.581690	2.564980	2.570380	2.559060
Norwegian Krone	10.602200	10.558800	10.558600	10.545100	10.576400	10.518600	10.535300	10.531900	10.513700	10.557300	10.594100
Rial Omani	0.525208	0.523847	0.526165	0.526542	0.525419	0.523935	0.525638	0.524373	0.522755	0.524250	0.522924
Pakistani Rupee	70.168000	69.986100	70.295900	70.346200	70.196200	70.274100	70.502500	70.332900	70.115700	70.467800	70.289500
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.972060	4.959170	4.981120	4.984690	4.974060	4.960010	4.976130	4.964160	4.948830	4.962990	4.950440
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.115480	5.102230	5.124810	5.128480	5.117540	5.103090	5.119680	5.107360	5.091590	5.106160	5.093240
Singapore Dollar	2.295750	2.292940	2.304450	2.292680	2.288890	NA	2.288480	2.280240	2.277690	2.279710	2.275020
South African Rand	8.466840	8.446260	8.424800	8.441790	8.437450	NA	8.445070	8.375650	NA	8.334150	8.310340
Sri Lanka Rupee	NA	NA	97.145600	97.146700	97.007800	96.815600	97.157700	96.882900	96.651800	96.873800	96.737500
Swedish Krona	11.224700	11.192200	11.111700	11.160800	11.167700	11.190700	11.237300	11.210300	11.216500	11.228100	11.257500
Swiss Franc	2.042910	2.045660	2.033230	2.029210	2.038680	2.039460	2.034200	2.045120	2.048190	2.047240	2.060010
Thai Baht	50.919900	50.812400	51.145400	51.260100	51.354400	51.461500	51.698500	51.698200	NA	NA	51.560700
Trinidad And Tobago Dollar	NA	8.557570	8.565200	8.593520	8.570690	8.548790	8.561690	8.542990	8.522190	8.540580	8.532570
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.016450	5.003450	5.025600	5.029190	5.018470	5.004300	5.020560	5.008480	4.993020	5.007310	4.994640
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 1999 Continued

Currency	August 17, 1999	August 18, 1999	August 19, 1999	August 20, 1999	August 23, 1999	August 24, 1999	August 25, 1999	August 26, 1999	August 27, 1999	August 30, 1999	August 31, 1999
Chinese Yuan	11.236400	11.264000	11.295700	11.356700	11.342100	11.284300	11.263100	11.267200	11.261800	11.267000	11.338300
Euro	1.289580	1.293950	1.297560	1.286220	1.291990	1.296850	1.304250	1.302350	1.301970	1.302110	1.295620
Japanese Yen	155.710000	155.137000	152.226000	153.185000	151.950000	153.270000	150.972000	151.136000	152.043000	151.301000	151.808000
U.K. Pound Sterling	0.849631	0.848516	0.851410	0.846763	0.849259	0.853899	0.858119	0.856221	0.856776	NA	0.854187
U.S. Dollar	1.357540	1.360850	1.364640	1.372010	1.370280	1.363250	1.360720	1.361220	1.360560	1.361230	1.369860
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.090130	2.103000	2.142960	2.149480	2.147770	2.139100	2.147600	2.154510	2.153130	2.153500	2.147450
Bahrain Dinar	0.510435	0.511680	0.513105	0.515876	0.515225	0.512582	0.511631	0.511819	0.511571	0.511822	0.515067
Botswana Pula	6.279090	6.291490	6.306100	6.325540	6.300140	6.285150	6.287990	6.284490	6.278540	6.278740	6.295310
Brazilian Real	2.546750	2.560030	2.581760	2.629180	2.670540	2.549000	2.587820	2.627560	2.595810	2.618330	2.661360
Brunei Dollar	2.281350	2.285550	2.283730	2.302920	2.292890	2.298440	2.298260	2.301140	2.298670	2.297080	2.306840
Canadian Dollar	2.007390	2.018140	2.038090	2.049920	2.049250	2.039010	2.035500	2.045370	2.029960	2.031910	2.049040
Chilean Peso	665.968000	666.558000	667.950000	670.844000	670.985000	668.401000	667.583000	667.978000	667.790000	668.160000	670.916000
Colombian Peso	2,551.020000	2,558.930000	NA	2,596.530000	2,614.410000	2,606.900000	NA	2,615.120000	2,604.410000	2,635.500000	2,677.690000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.599710	9.600120	9.636410	9.563460	9.569080	9.671990	9.688330	9.690930	9.677260	9.685020	9.667790
Hungarian Forint	326.393000	327.080000	328.141000	NA	327.004000	329.061000	329.131000	329.728000	328.929000	329.132000	329.725000
Icelandic Krona	99.399100	99.410100	99.468600	99.018000	99.290500	99.462700	99.795200	100.104000	100.096000	100.023000	99.958700
Indian Rupee	58.944400	59.088100	59.320900	59.751000	59.634600	59.315000	59.218500	59.240300	59.184400	59.199900	59.561500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,383.420000	2,379.090000	2,384.890000	2,384.890000	2,404.450000	2,401.420000	2,389.100000	2,384.660000	NA	2,385.550000	2,385.560000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,635.290000	1,638.060000	1,644.250000	1,645.590000	1,645.980000	1,632.490000	1,632.860000	1,626.660000	1,620.290000	1,619.730000	1,623.150000
Kuwaiti Dinar	0.413968	0.414978	0.415779	NA	0.416716	0.415873	0.414679	0.415131	NA	0.414944	0.417574
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.158650	5.171230	5.185630	5.213640	5.207060	5.180350	5.170740	5.172640	5.170130	5.172670	5.205470
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	93.296900	93.524400	93.784900	94.291400	94.172500	93.689400	93.515500	93.549800	93.504500	93.550500	94.143600
New Zealand Dollar	2.577200	2.573220	2.565840	2.581390	2.577890	2.598890	2.628650	2.635210	2.655010	2.660990	2.652450
Norwegian Krone	10.573200	10.620100	10.645800	10.607400	10.660800	10.682800	10.751600	10.841400	10.799200	10.806900	10.727200
Rial Omani	0.521974	0.523247	0.524704	0.527538	0.526873	0.524170	0.523197	0.523389	0.523135	0.523393	0.526711
Pakistani Rupee	70.161800	70.332900	70.528800	70.909700	70.913000	70.549200	70.418300	70.444200	70.410000	70.444700	70.891300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.941450	4.953490	4.967290	4.994120	4.987820	4.962230	4.953020	4.954840	4.952440	4.954880	4.986290
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.083990	5.096380	5.110580	5.138180	5.131700	5.105370	5.095900	5.097770	5.095300	5.097810	5.130130
Singapore Dollar	2.281350	2.285550	2.283730	2.302920	2.292890	2.298440	2.298260	2.301140	2.298670	2.297080	2.306840
South African Rand	8.296610	8.326360	8.367290	8.385040	8.338840	8.320600	8.314680	8.301400	8.289210	8.290570	8.330800
Sri Lanka Rupee	96.561800	96.770000	96.971300	97.453900	97.317300	96.940700	96.740400	NA	96.851500	96.865100	97.438100
Swedish Krona	11.240400	11.295100	11.391300	11.308800	11.291100	11.366100	11.280400	11.396800	11.343700	11.332200	11.352700
Swiss Franc	2.067530	2.070260	2.074800	2.053490	2.059800	2.074590	2.087620	2.086480	2.084110	2.086900	2.079310
Thai Baht	51.744000	52.185900	52.220700	52.652300	52.409100	52.295600	52.178200	52.122500	52.173400	52.124200	52.549200
Trinidad And Tobago Dollar	8.516260	8.526000	8.546600	8.585630	8.602210	8.555080	8.534980	8.546420	8.532620	8.539540	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.985570	4.997720	5.011640	5.038710	5.032350	5.006540	4.997240	4.999080	4.996660	4.999120	5.030810
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
