Currency units per SDR for September 1999
Currency	September 01, 1999	September 02, 1999	September 03, 1999	September 06, 1999	September 07, 1999	September 08, 1999	September 09, 1999	September 10, 1999	September 13, 1999	September 14, 1999	September 15, 1999
Indian Rupee	59.708700	59.876100	59.823600	59.615400	59.399900	59.549500	59.829300	59.745600	59.680300	59.654200	59.945000
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,400.680000	2,407.160000	NA	2,409.580000	2,409.580000	2,393.620000	2,398.540000	2,398.540000	2,404.780000	2,404.780000	2,402.200000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,627.260000	1,626.370000	1,633.570000	1,637.500000	1,628.890000	1,633.200000	1,642.380000	1,634.290000	1,632.500000	1,634.180000	1,640.460000
Kuwaiti Dinar	0.417864	0.418555	NA	0.417116	0.415513	0.416724	0.417856	NA	0.417378	0.416949	0.419009
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.219530	5.228150	5.224770	5.210180	5.190150	5.200830	5.225270	5.214360	5.208660	5.208770	5.235370
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.397900	94.553900	94.492800	94.228800	93.866700	94.059800	94.501700	94.304400	94.201400	94.203400	94.684500
New Zealand Dollar	2.665810	2.680620	2.661260	2.649210	2.606550	2.576750	2.603070	2.574240	2.564210	2.572450	2.614540
Norwegian Krone	10.712900	10.737500	10.734300	10.722700	10.694600	10.606300	10.674000	10.727200	10.830300	10.822200	10.933900
Rial Omani	0.528134	0.529007	0.528664	0.527188	0.525162	0.526242	0.528714	0.527611	0.527034	0.527046	0.529737
Pakistani Rupee	71.093700	71.211200	71.165200	70.870400	70.598000	70.743300	71.075600	70.927300	70.849800	70.929100	71.213100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.999760	5.008020	5.004780	4.990800	4.971620	4.981850	5.005250	4.994810	4.989350	4.989460	5.014940
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.143980	5.152480	5.149150	5.134770	5.115030	5.125560	5.149640	5.138890	5.133270	5.133380	5.159600
Singapore Dollar	2.309370	2.315520	2.318840	2.313050	2.308250	2.317790	2.328680	2.316000	2.314700	2.315160	2.326990
South African Rand	8.306600	8.317580	8.269580	8.283500	8.255760	8.343910	8.359740	8.327200	8.322210	8.336090	8.392440
Sri Lanka Rupee	97.632600	97.780200	97.703200	97.526300	97.219800	97.515600	97.863700	97.741800	97.689800	97.609700	98.101300
Swedish Krona	11.252900	11.274900	11.243600	11.215600	11.165700	11.103100	11.199900	11.228000	11.346000	11.339400	11.462700
Swiss Franc	2.070640	2.062370	2.054020	2.066930	2.072650	2.069660	2.078010	2.087800	2.129790	2.122580	2.129280
Thai Baht	53.026300	53.457900	53.259700	53.075300	53.029700	53.864200	54.440400	54.040000	53.908300	54.308300	54.405200
Trinidad And Tobago Dollar	8.625960	8.628520	8.599560	8.612150	8.558840	8.577950	8.616600	8.617140	8.587570	8.607500	8.639060
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.044400	5.052740	5.049470	5.035360	5.016010	5.026330	5.049940	5.039400	5.033900	5.034010	5.059710
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for September 1999 Continued

Currency	September 16, 1999	September 17, 1999	September 20, 1999	September 21, 1999	September 22, 1999	September 23, 1999	September 24, 1999	September 27, 1999	September 28, 1999	September 29, 1999	September 30, 1999
Chinese Yuan	11.410300	11.364500	11.344900	11.419100	11.454800	NA	11.447300	11.432300	11.417700	11.422600	11.487000
Euro	1.329100	1.320540	1.317100	1.328000	1.316800	1.325220	1.320100	1.326220	1.315820	1.306410	1.301160
Japanese Yen	144.678000	144.642000	147.926000	146.989000	144.886000	NA	144.490000	145.985000	145.772000	146.717000	148.275000
U.K. Pound Sterling	0.853321	0.846728	0.844571	0.846909	0.846528	0.846832	0.841614	0.837708	0.838217	0.838678	0.842812
U.S. Dollar	1.378540	1.372970	1.370570	1.379530	1.383820	1.382200	1.382940	1.381130	1.379370	1.379960	1.387690
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.124750	2.110640	2.128540	2.135830	2.128950	2.129740	2.127600	2.108270	2.121130	2.108740	2.123150
Bahrain Dinar	0.518331	0.516237	0.515334	0.518703	0.520316	0.519707	0.519985	0.519305	0.518643	0.518865	0.521771
Botswana Pula	6.352720	6.318320	6.298580	6.316530	6.318810	NA	6.309030	6.280720	6.249980	6.278250	NA
Brazilian Real	2.587660	2.579260	2.583940	2.584830	2.599230	2.612080	2.614590	2.642930	2.643700	2.675050	2.666590
Brunei Dollar	2.333870	2.326500	2.323800	2.346580	2.361490	2.367020	2.365520	2.355520	2.355960	2.363180	2.362540
Canadian Dollar	2.034730	2.023760	2.027070	2.030940	2.031720	2.039160	2.037900	2.032060	2.019810	2.019850	2.039900
Chilean Peso	676.532000	674.430000	673.512000	676.618000	678.335000	678.287000	678.332000	678.494000	677.284000	677.091000	680.093000
Colombian Peso	2,712.390000	2,715.080000	2,723.430000	NA	2,733.680000	2,753.840000	2,758.770000	2,756.240000	2,777.000000	2,765.190000	2,799.350000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.858220	9.820440	9.777650	9.839360	9.786650	9.824950	9.801170	9.815690	9.789800	9.738240	9.663460
Hungarian Forint	337.108000	337.421000	335.570000	337.102000	335.756000	337.685000	337.562000	337.672000	336.911000	336.545000	334.891000
Icelandic Krona	100.909000	100.515000	99.791200	100.292000	99.953300	100.099000	100.000000	100.021000	99.604300	99.288100	99.372500
Indian Rupee	60.021600	59.779100	59.688300	60.078500	60.265400	60.236300	60.254700	60.175800	60.099200	60.180100	60.517200
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,414.470000	NA	2,406.130000	2,401.920000	2,417.630000	2,425.140000	NA	2,423.600000	2,420.430000	2,417.350000	2,418.380000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,644.180000	1,640.420000	1,650.300000	1,658.610000	1,664.320000	NA	NA	1,667.440000	1,669.870000	1,674.310000	1,691.180000
Kuwaiti Dinar	0.418856	NA	0.416749	0.419474	0.419879	0.419387	NA	0.419062	0.418528	0.418638	0.420789
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.238450	5.217290	5.208170	5.242210	5.258520	5.252360	5.255170	5.248290	5.241610	5.243850	5.273220
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.740200	94.357400	94.192400	94.808200	NA	94.991700	95.042600	94.918200	94.797200	94.837800	95.369000
New Zealand Dollar	2.630050	NA	2.616840	2.636460	2.636100	2.630260	2.683500	2.681550	2.691190	2.678490	2.679200
Norwegian Krone	10.919100	10.846300	10.777800	NA	10.826700	10.841600	10.813600	10.867700	10.754100	10.727000	10.775000
Rial Omani	0.530049	0.527907	0.526984	0.530429	0.532079	0.531456	0.531740	0.531044	0.530368	0.530595	0.533567
Pakistani Rupee	71.255000	70.967100	70.921100	71.384700	NA	71.522900	71.561200	71.467500	71.376500	71.407000	71.807000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.017890	4.997610	4.988870	5.021490	5.037100	5.031210	5.033900	5.027310	5.020910	5.023050	5.051190
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.162630	5.141770	5.132780	5.166340	5.182410	5.176340	5.179110	5.172330	5.165740	5.167950	5.196900
Singapore Dollar	2.333870	2.326500	2.323800	2.346580	2.361490	2.367020	2.365520	2.355520	2.355960	2.363180	2.362540
South African Rand	8.448380	8.370310	8.341970	8.375820	8.393560	8.380970	NA	8.291610	8.234150	8.295630	8.335160
Sri Lanka Rupee	98.096900	97.782900	97.721600	98.332900	98.555700	98.426500	98.479200	98.460800	98.335300	98.384200	98.977000
Swedish Krona	11.376400	11.419700	11.317500	11.367300	11.354200	11.385900	11.353900	11.384000	11.372900	11.326000	11.372100
Swiss Franc	2.127230	2.115880	2.112320	2.126820	2.112400	2.122370	2.117560	2.119620	2.111130	2.092020	2.078070
Thai Baht	54.759700	54.988800	54.715900	55.493000	55.914600	56.426900	55.671600	56.285200	56.972100	57.180000	56.957700
Trinidad And Tobago Dollar	8.626210	8.593970	8.601700	8.664410	8.682920	8.680220	8.672560	8.662720	8.646990	8.659800	8.710250
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.062690	5.042230	5.033420	5.066320	5.082080	5.076130	5.078850	5.072200	5.065740	5.067900	5.096290
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
