Currency units per SDR for September 1998
Currency	September 01, 1998	September 02, 1998	September 03, 1998	September 04, 1998	September 07, 1998	September 08, 1998	September 09, 1998	September 10, 1998	September 11, 1998	September 14, 1998	September 15, 1998
Norwegian Krone	10.655500	10.373800	10.447700	10.486500	10.471600	10.529400	10.468100	10.451900	10.411300	10.331100	10.346200
Rial Omani	0.518644	0.517814	0.521809	0.520132	0.525046	0.523035	0.519117	0.523547	0.528326	0.525892	0.527484
Pakistani Rupee	62.203600	62.104000	62.583100	62.382100	62.971400	62.730200	62.260300	62.791600	63.364800	63.072900	63.263800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.909920	4.902060	4.939880	4.924010	4.970530	4.951490	4.914400	4.956330	5.001580	4.978540	4.993610
Russian Ruble	NA	NA	18.267800	22.983200	NA	25.709700	NA	NA	14.771100	13.055000	14.061700
Saudi Arabian Riyal	5.051560	5.043470	5.082380	5.066050	5.113910	5.094320	5.056160	5.099300	5.145850	5.122150	5.137650
Singapore Dollar	2.387520	2.325790	2.398010	2.365960	2.371930	2.362840	2.319490	2.359700	2.379870	2.363440	2.365790
South African Rand	8.513460	8.439220	8.417470	8.368790	8.400740	8.484190	8.453710	8.478190	8.603680	8.510700	8.488450
Sri Lanka Rupee	89.008500	88.835700	89.578800	89.247000	90.066300	89.700900	89.106600	89.894100	90.670100	90.310500	90.614800
Swedish Krona	10.952200	10.653200	10.728000	10.731400	10.823200	10.845700	10.819100	10.822900	NA	10.800300	10.757500
Swiss Franc	1.941980	1.945340	1.928180	1.938900	1.922800	1.922920	1.925930	1.908730	1.906230	1.916330	1.908410
Thai Baht	55.372900	54.637800	55.393200	55.236800	55.559300	55.349200	55.062900	55.606200	55.980600	55.818400	55.965400
Trinidad And Tobago Dollar	NA	8.436660	8.495240	8.471730	8.551630	8.537650	8.469380	8.537420	8.621130	8.580180	8.608760
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.953760	4.945830	4.983990	4.967970	5.014910	4.995700	4.958280	5.000590	5.046240	5.022990	5.038190
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for September 1998 Continued

Currency	September 16, 1998	September 17, 1998	September 18, 1998	September 21, 1998	September 22, 1998	September 23, 1998	September 24, 1998	September 25, 1998	September 28, 1998	September 29, 1998	September 30, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.351800
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	183.195000	184.196000	180.305000	182.939000	183.729000	NA	186.806000	186.276000	187.267000	186.159000	185.471000
U.K. Pound Sterling	0.814662	0.812807	0.815323	0.815513	0.814800	0.812236	0.811581	0.807878	0.804079	0.804949	0.808800
U.S. Dollar	1.364070	1.371530	1.369580	1.372590	1.366420	1.364800	1.366540	1.377270	1.369910	1.375900	1.371320
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.286410	2.320300	2.321320	2.340310	2.337360	2.354320	2.349220	2.346290	2.326610	2.311270	2.306680
Bahrain Dinar	0.512890	0.515695	0.514962	0.516094	0.513774	0.513165	0.513819	0.517854	0.515086	0.517338	0.515616
Botswana Pula	0.294980	0.297279	0.295624	0.296890	NA	NA	NA	NA	0.304600	0.307238	0.306216
Brazilian Real	1.608240	1.616760	1.615150	1.619660	1.613470	1.613470	1.616620	1.628900	1.621970	1.629200	1.623920
Brunei Dollar	2.341430	2.338460	NA	NA	NA	NA	NA	2.346870	2.306240	2.315640	2.299700
Canadian Dollar	2.050740	2.092820	2.094500	2.096360	2.089800	2.083780	2.065940	2.083120	2.069930	2.065090	2.092500
Chilean Peso	640.431000	642.384000	NA	NA	NA	NA	NA	NA	NA	NA	641.435000
Colombian Peso	2,069.190000	2,085.590000	2,097.500000	2,105.480000	2,089.610000	2,103.380000	2,133.550000	2,133.320000	2,120.360000	2,141.240000	2,133.980000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.836720	8.809060	8.835980	8.799130	8.822430	8.766520	8.757740	8.739880	8.760990	8.761180	8.736680
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	95.525800	95.554500	95.884300	95.697000	95.526400	95.372200	95.152200	94.962800	95.085500	95.281100	95.238200
Indian Rupee	57.959300	58.248900	58.248200	58.362500	58.086500	58.058600	58.118900	58.547700	58.262300	58.462000	58.267400
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,404.200000	2,390.530000	2,390.530000	NA	NA	NA	NA	NA	2,413.670000	2,400.770000	2,411.260000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,897.150000	1,888.050000	1,890.840000	1,905.290000	1,899.460000	NA	1,918.490000	1,922.120000	1,899.380000	1,904.660000	1,883.650000
Kuwaiti Dinar	0.414609	0.416835	NA	0.417158	0.415446	0.414954	0.415483	NA	0.415864	0.417654	0.416264
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.183470	5.211810	5.204400	5.215840	5.192400	5.186240	5.192850	5.233630	5.205660	5.228420	5.211020
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.918900
Nepalese Rupee	93.200100	93.709800	93.576600	93.782200	93.360600	93.250000	93.368800	94.102000	93.599100	94.008400	93.695400
New Zealand Dollar	2.679900	2.694560	2.690730	2.744630	2.732840	2.779630	2.763480	2.782360	2.767490	2.735390	2.731710
Norwegian Krone	10.258500	10.278900	10.220500	10.218900	10.283000	10.248300	10.255200	10.211800	10.217500	10.238800	10.129300
Rial Omani	0.524485	0.527353	0.526604	0.527761	0.525388	0.524766	0.525435	0.529560	0.526730	0.529034	0.527273
Pakistani Rupee	62.904100	63.248100	63.158200	63.297000	63.012500	62.937800	63.018000	63.512800	63.173400	63.449600	63.238400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.063800
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.912750
Qatar Riyal	4.965210	4.992370	4.985270	4.996230	4.973770	4.967870	4.974210	5.013260	4.986470	5.008280	4.991600
Russian Ruble	NA	22.397100	NA	NA	NA	NA	21.755300	NA	NA	NA	21.771100
Saudi Arabian Riyal	5.108440	5.136380	5.129080	5.140350	5.117240	5.111180	5.117690	5.157880	5.130310	5.152750	5.135590
Singapore Dollar	2.350970	2.355600	2.353620	2.378010	2.364860	2.363150	2.351820	2.360640	2.321310	2.322520	2.310670
South African Rand	8.340610	8.430110	8.418120	8.417410	8.159580	8.096680	NA	8.038440	8.002330	8.030440	8.053080
Sri Lanka Rupee	90.201900	90.643700	90.446400	90.737800	90.323100	90.315000	90.460800	91.136700	90.649700	91.039200	90.705300
Swedish Krona	10.643800	10.725400	10.719000	10.803000	10.927900	10.816700	10.810700	10.825300	10.879800	10.784300	10.778600
Swiss Franc	1.912290	1.902450	1.911930	1.894310	1.903290	1.909080	1.904820	1.894570	1.906230	1.906860	1.902430
Thai Baht	55.682700	55.824000	55.635100	55.731300	55.549100	55.288000	54.650700	53.593700	53.682700	53.768800	53.903800
Trinidad And Tobago Dollar	8.565680	8.594010	8.589050	8.612590	8.571420	8.572040	8.582010	8.650080	8.605910	8.642720	8.609420
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.009550	5.036940	5.029780	5.040840	5.018180	5.012230	5.018620	5.058020	5.030990	5.052990	5.036170
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
