Currency units per SDR for November 1995
Currency	November 01, 1995	November 02, 1995	November 03, 1995	November 06, 1995	November 07, 1995	November 08, 1995	November 09, 1995	November 10, 1995	November 13, 1995	November 14, 1995	November 15, 1995
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,144.120000	1,139.620000	1,143.230000	1,153.760000	1,150.720000	1,153.520000	1,150.870000	1,156.690000	1,153.490000	1,148.220000	1,155.530000
Kuwaiti Dinar	0.448293	0.446755	NA	0.448460	0.447427	0.448332	0.447708	NA	0.449763	0.447957	0.449954
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.797830	3.788060	3.784760	3.798560	3.795210	3.791770	3.783510	3.806300	3.804180	3.788840	3.804390
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	83.675800	83.335800	83.230600	83.681900	83.558700	83.697000	83.580600	84.166900	84.053800	83.615800	84.024700
New Zealand Dollar	2.276370	2.274050	2.270140	2.282100	2.276310	2.285310	2.280730	2.305890	2.304910	2.293610	2.306590
Norwegian Krone	9.310420	9.320960	9.326280	9.313350	9.310080	9.329230	9.343110	9.355300	9.344980	9.347060	9.315710
Rial Omani	0.574524	0.572190	0.571467	0.574566	0.573720	0.574670	0.573870	0.577896	0.577119	0.574112	0.577538
Pakistani Rupee	51.304700	51.096300	51.031800	51.308500	51.233000	51.317800	51.246400	51.605900	51.536500	51.268000	51.573900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.438920	5.416830	5.409990	5.439320	5.431320	5.440310	5.432740	5.470850	5.463490	5.435030	5.467460
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.595820	5.573080	5.566040	5.596230	5.587990	5.597240	5.589450	5.628660	5.621100	5.591810	5.625180
Singapore Dollar	2.113110	2.107950	2.106480	2.111920	2.107320	2.114840	2.110710	2.122660	2.119810	2.109210	2.119990
South African Rand	NA	5.427990	5.422620	5.440070	5.433550	5.435080	5.433480	5.464080	5.456740	5.440260	5.466710
Sri Lanka Rupee	79.368700	79.224900	79.199100	NA	79.481500	79.687800	79.547100	80.029900	79.997400	79.733700	80.134400
Swedish Krona	9.892420	9.893900	9.904440	9.939470	9.986910	9.939770	9.983850	NA	9.981830	9.968950	9.935910
Swiss Franc	1.698620	1.706600	1.704290	1.693810	1.697730	1.701590	1.713250	1.707080	1.703590	1.709350	1.699570
Thai Baht	37.594300	37.516000	37.498300	37.686800	37.586500	37.663700	37.581400	37.754900	37.704100	37.552500	37.746500
Trinidad And Tobago Dollar	8.811660	8.804580	8.809510	8.852650	8.854090	8.854250	8.854170	8.917630	8.894240	8.847750	8.886580
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.485240	5.462960	5.456060	5.485650	5.477570	5.486640	5.479000	5.517440	5.510020	5.481320	5.514030
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for November 1995 Continued

Currency	November 16, 1995	November 17, 1995	November 20, 1995	November 21, 1995	November 22, 1995	November 23, 1995	November 24, 1995	November 27, 1995	November 28, 1995	November 29, 1995	November 30, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.352300
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	152.386000	152.787000	153.116000	151.741000	151.933000	NA	151.299000	151.735000	151.480000	150.724000	150.919000
U.K. Pound Sterling	0.961406	0.961943	0.965776	0.962539	0.961097	0.959694	0.957623	0.958551	0.962544	0.968811	0.968491
U.S. Dollar	1.499120	1.499380	1.493090	1.496460	1.498350	1.500290	1.498010	1.494190	1.490210	1.487900	1.486150
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.028850	2.024820	2.010080	2.006520	2.020430	2.026600	2.025980	2.018360	1.999480	1.982020	1.989760
Bahrain Dinar	0.563669	0.563767	0.561402	0.562669	0.563380	0.564109	0.563252	0.561815	0.560319	0.559450	0.558792
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.441850	1.442100	1.435460	1.439000	1.442760	1.445980	1.443630	1.441150	1.436410	1.434040	1.432200
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.032360	2.026710	2.017610	2.024260	2.027120	2.031090	2.027860	2.019700	2.020720	2.021310	2.018790
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	613.408000
Colombian Peso	1,501.550000	1,502.750000	1,497.020000	1,501.610000	1,503.550000	1,504.030000	1,499.850000	1,495.220000	1,495.040000	1,490.470000	1,483.420000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.172450	8.158880	8.187360	8.168430	8.170500	8.202090	8.199360	8.232240	8.301210	8.277190	8.260020
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.618300	96.620000	96.647700	96.551600	96.568700	96.678700	96.606700	96.704000	97.072300	97.011100	96.882100
Indian Rupee	52.139400	52.343400	51.989400	52.136700	52.202500	52.255100	52.235600	52.132300	52.067900	51.927700	51.926100
Indonesian Rupiah	3,431.490000	3,435.080000	3,420.670000	3,429.890000	3,434.220000	3,438.660000	3,434.940000	3,426.180000	3,417.050000	3,411.750000	3,407.740000
Iranian Rial	2,624.830000	2,624.830000	2,620.170000	NA	NA	NA	NA	2,618.370000	2,611.100000	2,604.140000	2,600.110000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,152.820000	1,152.720000	1,148.930000	1,155.870000	1,153.580000	1,153.120000	1,151.220000	1,148.580000	1,145.970000	1,143.900000	1,143.150000
Kuwaiti Dinar	0.449451	NA	0.447987	0.448250	0.448816	0.449202	NA	0.448332	0.447465	0.446459	0.446113
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.802520	3.793880	3.785730	3.797270	3.808510	3.811490	3.806890	3.797330	3.790350	3.782240	3.778540
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.183300
Nepalese Rupee	83.860800	83.875300	83.493600	83.682000	83.787700	83.896200	83.768700	83.555100	83.332500	83.203400	83.105500
New Zealand Dollar	2.313810	2.315640	2.299540	2.293780	2.298440	2.299300	2.295800	2.294870	2.282800	2.270910	2.269280
Norwegian Krone	9.296040	9.299900	9.305680	9.307980	9.312250	9.331050	9.325860	9.361850	9.438250	9.426590	9.405840
Rial Omani	0.576412	0.576512	0.574093	0.575389	0.576116	0.576862	0.575985	0.574516	0.572986	0.572098	0.571425
Pakistani Rupee	51.473300	51.482300	51.266300	51.382000	51.446900	51.513500	51.435200	51.304100	51.167400	51.088100	51.028000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.914800
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.747330
Qatar Riyal	5.456800	5.457740	5.434850	5.447110	5.453990	5.461060	5.452760	5.438850	5.424360	5.415960	5.409590
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.614200	5.615180	5.591620	5.604240	5.611320	5.618590	5.610050	5.595740	5.580840	5.572190	5.565630
Singapore Dollar	2.117510	2.117120	2.111530	2.112850	2.116120	2.117960	2.115040	2.110240	2.105370	2.100320	2.099040
South African Rand	5.466540	5.468990	5.455000	5.456840	5.468230	5.478310	5.474480	5.467990	5.454910	5.449430	5.444510
Sri Lanka Rupee	79.993000	80.130600	79.973600	79.959600	80.101800	80.134200	80.072400	80.047500	79.983300	79.859300	79.928900
Swedish Krona	9.906180	9.859920	9.776450	9.793580	9.788720	9.787140	9.783500	9.635280	9.763410	9.690990	9.687320
Swiss Franc	1.706750	1.701050	1.707350	1.704920	1.703170	1.708080	1.708480	1.711590	1.722680	1.729980	1.732550
Thai Baht	37.672900	37.709400	37.596000	37.606000	37.653500	37.672300	37.630000	37.578900	37.508600	37.420700	37.391500
Trinidad And Tobago Dollar	8.838510	8.858490	8.838790	8.850210	8.891810	8.897170	8.879900	8.858010	8.826510	8.830090	8.808410
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.503270	5.504220	5.481130	5.493500	5.500440	5.507560	5.499190	5.485170	5.470560	5.462080	5.455660
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
